protocol_id,epsp_ratio,epsp_before,epsp_after,ephys_before_path,ephys_after_path,pre_gid,post_gid
mrk97_08,1.0,2.532661999691399,2.532661999691399,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_180723_207048_1_0_1_0_0_0_0_0_0_1.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_180723_207048_1_0_1_0_0_0_0_0_0_1.pkl,180723,207048
mrk97_08,0.8373591246200222,2.6732104082154486,2.23843712734842,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_183796_186882_1_1_1_0_0_1_0_1_1_0_0.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_183796_186882_1_1_1_0_0_1_0_0_1_0_0.pkl,183796,186882
mrk97_08,1.0,1.3891340372674648,1.3891340372674648,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_203038_207594_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_203038_207594_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0.pkl,203038,207594
mrk97_08,1.854865028549089,1.3087954721297805,2.427638950776924,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_208976_188476_0_0_0_0_1.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_208976_188476_0_1_1_1_0.pkl,208976,188476
mrk97_08,1.9762550294599253,1.7219864756414636,3.4030844331484134,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_182967_198780_0_1_0_0_0_0_1_0_0_1.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_182967_198780_1_0_1_0_1_0_1_1_1_0.pkl,182967,198780
mrk97_08,0.8698138687577166,3.811589068914569,3.315373034147204,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_204883_200512_1_0_0_0_0_1_0_0_0_1_1_1_0_0.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_204883_200512_0_0_0_0_0_1_0_0_0_0_1_1_0_0.pkl,204883,200512
mrk97_08,1.0,3.409622938329546,3.409622938329546,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_208904_200676_0_0_1_0_0_0_0_1_1_1_0.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_208904_200676_0_0_1_0_0_0_0_1_1_1_0.pkl,208904,200676
mrk97_08,1.8403360327191693,0.6444435585273983,1.185992701811736,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_202571_195398_1_0_0_0_0.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_202571_195398_0_1_0_1_0.pkl,202571,195398
mrk97_08,1.0099301365869053,1.248699946696898,1.2610997077236596,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_199599_194835_0_1_1_0_0_0_1_1_1.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_199599_194835_0_0_1_0_1_0_0_1_1.pkl,199599,194835
mrk97_08,1.3306361314691406,1.402154427882055,1.8657573436393038,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_180687_187024_1_1_1_1_0_0_0.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_180687_187024_1_1_1_1_0_0_1.pkl,180687,187024
mrk97_08,1.2237976747268215,0.8662114980469283,1.0600676171314676,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_208966_196199_1_0_0_0_0_0_1.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_208966_196199_1_1_1_0_0_0_0.pkl,208966,196199
mrk97_08,0.543103073180331,1.3564261579875991,0.7366792149452543,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_187212_192870_0_1_1_0.pkl,/lustre06/project/6077694/dhuruva/plastyfire/evaluation_results/Chindemi_params/sim_results/ephys_data_187212_192870_0_0_1_0.pkl,187212,192870
