,Use,Dep (ms),Fac (ms),Nrrp,gAMPAR (nS),gNMDAR (nS),Vspine ($\mu m^3$),$\theta_d$,$\theta_p$
0,0.5098550989769484,655.186538915999,2.361315548100296,1.0,0.6826934969050206,0.27307739876200826,0.03761018354970895,0.05806578264348217,0.06876209044380503
1,0.41116970538721315,799.9610848764247,0.02653537837758446,1.0,0.7178418740354495,0.28713674961417984,0.05027458736154475,0.047423945910171,0.056310947522545535
2,0.7608238425919994,634.7263249204067,19.05835831023654,1.0,0.8574179161973094,0.3429671664789238,0.08349749960061904,0.03580499159562295,0.04265482379426235
3,0.8858237733186464,748.564518848522,0.002907425094525334,2.0,1.7959696095794346,0.7183878438317739,0.12827045859364825,0.0350691895330286,0.04062118519882285
4,0.3059644420463751,530.8881178844828,26.110523961668,1.0,0.6432368721141161,0.25729474884564646,0.04012946303099106,0.03455831767933875,0.039999156206422255
5,0.20016211080996127,386.46231538470187,0.002485519236636011,1.0,0.15459563375432026,0.061838253501728106,0.005979186767504664,0.050246370664354854,0.05816600193680078
6,0.5072614823358284,549.5071384196533,1.7444206882792233e-05,1.0,0.4629547753526111,0.18518191014104446,0.036766066709702845,0.07019062584088843,0.08124096510786949
7,0.46558952660258734,724.0335887563593,8.532071324642859,1.0,0.6551712610001686,0.26206850440006746,0.05971633246281545,0.12555045129504355,0.17262488861375033
8,0.29591052398792633,541.0743194817471,0.08636232819035501,1.0,0.620665119088613,0.24826604763544521,0.03888430122716321,0.09116976323210502,0.11253214019010241
9,0.34982428629787937,742.2789955921259,7.951092496191204,1.0,0.39745788827952677,0.15898315531181073,0.027694525868695433,0.10114874771480259,0.12558163723425284
10,0.41083307639734556,548.3277837529613,19.07165432953062,1.0,0.3268228596782372,0.1307291438712949,0.0236017082814871,0.033095313868760114,0.03839338249710671
11,0.44244758183743915,636.2452809968241,18.328327268894892,1.0,0.45849778459232765,0.18339911383693108,0.03680162949746744,0.022865173903065788,0.026496686054068182
12,0.2682699623828093,607.3894251287438,0.41284363873431484,1.0,0.25986934579688936,0.10394773831875576,0.031457006838149115,0.013469669329118975,0.015609962861280203
13,0.36403759075358394,745.8985990976145,0.06371609116769156,1.0,0.3683620603936554,0.14734482415746217,0.0355964962623447,0.04484065888398736,0.05512000301465843
14,0.4416543158480974,673.9341857391554,2.815591379040436,1.0,0.3850405120281446,0.15401620481125786,0.05653021543895944,0.06102524334941351,0.09248331515539349
15,0.6751457044434206,637.3941747049911,35.05881247949717,1.0,0.9675056160124679,0.38700224640498715,0.06275891274421777,0.036107072570938877,0.04182153144200147
16,0.1407758523948668,585.8298801529766,0.034803182533512764,1.0,0.25389285039287457,0.10155714015714984,0.026933232066146628,0.21589329615615332,0.23063815539879462
17,0.39073664321235224,694.278237835024,7.0915551801969805,1.0,0.5095466615462578,0.20381866461850315,0.028782745345735092,0.2833291233426215,0.38055698718219216
18,0.4296621275567277,603.7440473476673,42.13732916961014,1.0,0.5768538204138219,0.2307415281655288,0.0329982192540212,0.06421907110570169,0.17259503851559233
19,0.39749513326889774,477.7411243169564,58.538105633840416,1.0,0.4655006936800734,0.18620027747202939,0.011493376586287789,0.07493634911484007,0.08683333415807858
20,0.3776464507721695,702.1629409755869,51.42614287495321,1.0,0.3485356230297395,0.1394142492118958,0.02409640285634845,0.04503444767551738,0.05454041001703861
21,0.6210731273120318,730.478130881583,0.7231872610131352,1.0,0.7225755905115993,0.2890302362046397,0.040998118051485656,0.208146580445621,0.2940556520395458
22,0.3779423563717233,481.25163601165053,37.56510940008136,1.0,0.40746115922910847,0.1629844636916434,0.01311801046313385,0.07672750243242805,0.09105221580915115
23,0.4284135895221239,525.1682201251597,0.19372168933285436,1.0,0.9867891113374949,0.39471564453499797,0.06526515118003061,0.03839388743922745,0.04567395412383915
24,0.45152431431723594,853.860875610223,1.8431479602636291,1.0,0.47060178851705853,0.1882407154068234,0.03618591635620186,0.03193463980792957,0.03802799133094101
25,0.3790322641373063,833.4579020214177,0.009192113433347393,1.0,0.3065978615114432,0.12263914460457728,0.045534417633507074,0.025457339055441015,0.03100086140839413
26,0.6877975454938239,894.6049044238393,0.5737878933426626,1.0,0.7339124658460462,0.2935649863384185,0.06238370681243226,0.027978177870896646,0.03254716105586133
27,0.384316687245037,910.4801453852776,14.771524788481507,1.0,0.6920816233817092,0.2768326493526837,0.055891671638778,0.029411974420408,0.034212618412270905
28,0.6178623064280103,560.3818694962695,0.872356101900454,1.0,0.7040740999016666,0.28162963996066664,0.046083935242865894,0.03107014114455455,0.03596100285416051
29,0.02047328906953842,638.1354815933504,0.053307782778986956,1.0,0.13368706306002395,0.053474825224009585,0.013419582016923936,0.020297399700119265,0.02349570559976604
30,0.5404119082177623,611.45419009264,8.541165355606939,1.0,0.5636946124532458,0.22547784498129833,0.041831850625723054,0.027402777958786286,0.03171691472468458
