pregid,postgid,frequency_train,dt_train,path,epsp_before,epsp_after,epsp_ratio,epsp_before_std,epsp_after_std,N,apical_ratio,Use_before_mean,Use_before_std,Dep_mean,Dep_std,Fac_mean,Fac_std,gmax_AMPA_before_mean,gmax_AMPA_before_std,spine_volume_mean,spine_volume_std,Nrrp_mean,Nrrp_std,Cpre_mean,Cpre_std,Cpost_mean,Cpost_std,risetime
121490,25325,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/121490-25325/0Hz_-15ms/simulation.batch,0.011396277595133952,0.004279117363747718,0.37548377775343417,0.0,0.0,2.0,0.0,0.48786739601454987,0.32587625000086606,666.6352528066483,32.869137705177764,2.772049441372635,2.771699773361601,0.7385316226227823,0.4943807250132213,0.07155307801440863,0.04847728853460749,1.0,0.0,0.01751299091757362,0.00048429914023800924,0.009889472870083571,0.00526740192524333,1.3250000000000002
1317,4546,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/1317-4546/0Hz_-15ms/simulation.batch,0.0017561094872920791,0.00027096620243792616,0.15429915070714414,0.0,0.0,2.0,0.0,0.25306327642816817,0.0529011656182069,458.6752166345923,72.21290124989045,13.056504740452318,13.054019221215682,0.3989162529342182,0.2443206191798979,0.02305432489924786,0.017075138131743196,1.0,0.0,0.042232010156920616,0.00778073819675261,4.806394603889474e-05,2.5187620946550022e-05,2.7
450,1126,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/450-1126/0Hz_-15ms/simulation.batch,0.019914749355298106,0.017132127016349707,0.8602732934618575,0.0,0.0,4.0,0.0,0.6419181050687018,0.18994341983467727,709.6096168903381,67.5467448998609,5.362279165452236,7.965258843652165,1.0134807241793036,0.4564720624671768,0.07491318227638025,0.035068730777217734,1.25,0.4330127018922193,0.034688829337197635,0.006784778283355982,0.0047806965634004175,0.0027237053053986897,2.35
11202,23034,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/11202-23034/0Hz_-15ms/simulation.batch,0.025506110294811854,0.027666669099777195,1.084707498712762,0.0,0.0,5.0,0.8,0.5494282065624997,0.21796796305361474,690.1267777170375,111.15468408059144,15.042414249443132,21.911906361393626,0.7119035441897176,0.38924222209246795,0.04909079111220871,0.02497200925401027,1.0,0.0,0.027314528697937046,0.00735369410540642,0.031941180953148976,0.02395565899973716,1.3250000000000002
17432,23451,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/17432-23451/0Hz_-15ms/simulation.batch,0.022870081185401195,0.021041728779590676,0.9200548353550392,0.0,0.0,2.0,0.5,0.5352838199357376,0.3137511435173012,669.6564169125658,1.8658226448557116,2.3782709900307517,2.362746803615319,0.8328816616564745,0.6189837853307228,0.05201398241025682,0.03957667045695697,1.0,0.0,0.027049961718463786,0.0010429554517040404,0.004859148101962802,0.0038820997753651458,1.0250000000000001
122857,17607,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/122857-17607/0Hz_-15ms/simulation.batch,0.01128704359804459,0.003591495567512831,0.3181963050213641,0.0,0.0,3.0,0.6666666666666666,0.5605327489559833,0.23800670171842941,646.1261638154846,73.3324473581319,14.302326050510311,15.259318489705963,0.758631631069763,0.38888189872712864,0.040113379782934076,0.02049336362429271,1.0,0.0,0.03454968170913533,0.004588532163823362,0.06716621106178992,0.05440206918867919,1.6
6859,119724,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/6859-119724/0Hz_-15ms/simulation.batch,0.006092806462570022,0.00464853770786237,0.7629550907976089,0.0,0.0,3.0,0.0,0.48500934372439913,0.2030721566111711,777.8785032121071,115.49780826320044,14.968225271087197,20.57700304943693,0.6132599430342706,0.2145635426622428,0.04727132733643417,0.030655214726363778,1.0,0.0,0.03101411312653922,0.008844455368576469,0.005220856360879044,0.007192831264036231,1.675
6684,12371,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/6684-12371/0Hz_-15ms/simulation.batch,0.008785595172769679,0.00903140541003859,1.027978780314256,0.0,0.0,2.0,1.0,0.6143539955281817,0.12722384249821939,584.2587416812819,40.29088934853638,18.603722424154807,18.602370193928017,0.832029845297946,0.011770627336593342,0.061480869657108896,0.022949289150642947,1.0,0.0,0.03545203556006833,0.018698404102031125,0.0715475140278943,0.0006283044610264285,2.3000000000000003
2823,16752,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/2823-16752/0Hz_-15ms/simulation.batch,0.007164514410689259,0.00781660564011646,1.0910168075667905,0.0,0.0,3.0,0.3333333333333333,0.4654049037843664,0.110371914940376,636.7940653913754,113.05991344760562,36.895811923268916,25.742171428588748,0.512203969073804,0.1562313909298953,0.025529299164707298,0.01208779925117121,1.0,0.0,0.043291529998513524,0.021886787349660597,0.027103510391530822,0.030559708485243472,1.675
26424,26467,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/26424-26467/0Hz_-15ms/simulation.batch,0.00022031293544959196,0.0035417182246923464,16.075852366384083,0.0,0.0,2.0,0.0,0.05091797070805247,0.04640324749503538,720.8552819534863,175.62254293850708,1.2215851058179918,1.1208535015013665,0.18998563530458884,0.1650964497494043,0.012010041342102241,0.007938747670624326,1.0,0.0,0.019947011255532346,0.010349024549304081,0.0005198638309155104,0.0003298716292018213,2.1
