,pregid,postgid,frequency_train,dt_train,path,epsp_before,epsp_after,epsp_ratio,epsp_before_std,epsp_after_std,N,apical_ratio,Use_before_mean,Use_before_std,Dep_mean,Dep_std,Fac_mean,Fac_std,gmax_AMPA_before_mean,gmax_AMPA_before_std,spine_volume_mean,spine_volume_std,Nrrp_mean,Nrrp_std,Cpre_mean,Cpre_std,Cpost_mean,Cpost_std,risetime,epsp_before_amplitude,epsp_after_amplitude,epsp_ratio_amplitude
0,121490,25325,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/121490-25325/0Hz_-15ms/simulation.batch,0.011396277595133952,0.004279117363747718,0.37548377775343417,0.0,0.0,2.0,0.0,0.4878673960145498,0.3258762500008661,666.6352528066483,32.869137705177764,2.772049441372635,2.7716997733616013,0.7385316226227823,0.4943807250132213,0.07155307801440862,0.04847728853460749,1.0,0.0,0.01751299091757362,0.0004842991402380093,0.009889472870083571,0.0052674019252433295,1.3250000000000002,0.9961878727492414,0.3565973641310682,0.3579619606760965
1,1317,4546,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/1317-4546/0Hz_-15ms/simulation.batch,0.0017561094872920794,0.00027096620243792616,0.15429915070714414,0.0,0.0,2.0,0.0,0.25306327642816817,0.0529011656182069,458.6752166345923,72.21290124989045,13.056504740452318,13.054019221215682,0.3989162529342182,0.2443206191798979,0.023054324899247858,0.017075138131743196,1.0,0.0,0.042232010156920616,0.00778073819675261,4.806394603889474e-05,2.5187620946550026e-05,2.7,0.3121344826319865,0.03639707785209486,0.11660703920049685
2,450,1126,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/450-1126/0Hz_-15ms/simulation.batch,0.019914749355298102,0.01713212701634971,0.8602732934618575,0.0,0.0,4.0,0.0,0.6419181050687018,0.18994341983467727,709.6096168903381,67.5467448998609,5.362279165452237,7.9652588436521645,1.0134807241793036,0.4564720624671768,0.07491318227638025,0.035068730777217734,1.25,0.4330127018922193,0.034688829337197635,0.006784778283355982,0.0047806965634004175,0.0027237053053986893,2.35,3.0826283515176955,2.2341621784378187,0.7247588498100512
3,11202,23034,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/11202-23034/0Hz_-15ms/simulation.batch,0.025506110294811854,0.0276666690997772,1.084707498712762,0.0,0.0,5.0,0.8,0.5494282065624997,0.21796796305361474,690.1267777170375,111.15468408059144,15.042414249443134,21.911906361393623,0.7119035441897176,0.389242222092468,0.04909079111220871,0.024972009254010268,1.0,0.0,0.027314528697937046,0.007353694105406421,0.031941180953148976,0.02395565899973716,1.3250000000000002,2.2697352027145152,2.049096188700708,0.9027908569466908
4,17432,23451,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/17432-23451/0Hz_-15ms/simulation.batch,0.0228700811854012,0.021041728779590683,0.9200548353550392,0.0,0.0,2.0,0.5,0.5352838199357376,0.3137511435173012,669.6564169125658,1.865822644855712,2.378270990030752,2.3627468036153187,0.8328816616564745,0.6189837853307228,0.05201398241025682,0.03957667045695697,1.0,0.0,0.027049961718463786,0.0010429554517040404,0.0048591481019628026,0.0038820997753651453,1.025,1.5371754703845617,1.4169392573263329,0.9217810748514296
5,122857,17607,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/122857-17607/0Hz_-15ms/simulation.batch,0.011287043598044591,0.003591495567512831,0.3181963050213641,0.0,0.0,3.0,0.6666666666666666,0.5605327489559833,0.2380067017184294,646.1261638154846,73.3324473581319,14.302326050510313,15.259318489705965,0.7586316310697631,0.38888189872712864,0.04011337978293408,0.02049336362429271,1.0,0.0,0.03454968170913533,0.004588532163823361,0.06716621106178992,0.05440206918867919,1.6,1.274955595382116,0.4936385899776549,0.3871810059625698
6,6859,119724,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/6859-119724/0Hz_-15ms/simulation.batch,0.006092806462570022,0.004648537707862371,0.7629550907976089,0.0,0.0,3.0,0.0,0.4850093437243991,0.2030721566111711,777.878503212107,115.49780826320044,14.968225271087196,20.57700304943693,0.6132599430342706,0.2145635426622428,0.04727132733643417,0.030655214726363775,1.0,0.0,0.03101411312653922,0.008844455368576469,0.005220856360879044,0.0071928312640362315,1.675,0.6824032736895008,0.4987831896342229,0.7309214490391988
7,6684,12371,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/6684-12371/0Hz_-15ms/simulation.batch,0.008785595172769679,0.009031405410038591,1.027978780314256,0.0,0.0,2.0,1.0,0.6143539955281817,0.1272238424982194,584.2587416812819,40.29088934853638,18.60372242415481,18.602370193928014,0.8320298452979459,0.011770627336593342,0.0614808696571089,0.022949289150642947,1.0,0.0,0.03545203556006833,0.018698404102031125,0.0715475140278943,0.0006283044610264285,2.3000000000000003,1.3308476009857453,1.3551996940150874,1.0182981830611595
8,2823,16752,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/2823-16752/0Hz_-15ms/simulation.batch,0.007164514410689259,0.007816605640116459,1.0910168075667903,0.0,0.0,3.0,0.3333333333333333,0.4654049037843664,0.11037191494037599,636.7940653913754,113.05991344760562,36.89581192326892,25.742171428588748,0.5122039690738039,0.1562313909298953,0.025529299164707298,0.012087799251171209,1.0,0.0,0.04329152999851352,0.0218867873496606,0.027103510391530826,0.030559708485243475,1.675,0.7927185550551734,0.851387343820885,1.0740096070560985
9,26424,26467,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/26424-26467/0Hz_-15ms/simulation.batch,0.000220312935449592,0.003541718224692347,16.075852366384087,0.0,0.0,2.0,0.0,0.05091797070805247,0.04640324749503538,720.8552819534862,175.62254293850708,1.2215851058179918,1.1208535015013663,0.18998563530458884,0.1650964497494043,0.012010041342102241,0.007938747670624326,1.0,0.0,0.019947011255532342,0.01034902454930408,0.0005198638309155103,0.0003298716292018213,2.1,0.030695420838523783,0.4999034782556618,16.285930102911838
