epsp_ratio,risetime
1.2810142533329552,2.35
1.2762563479972062,1.475
1.8363107463420516,2.275
0.6166906717794254,1.35
2.29670598978342,1.5
1.3090362438644083,3.8
1.6494944749804084,1.175
0.8611223117022001,1.725
0.4200554502648728,4.175
0.9245123578629184,2.2
0.4759589688555727,1.525
0.70949757883929,4.675
0.6067734990645172,1.3
0.927771074811246,1.1
0.8612950272531928,1.55
0.2642217409131367,8.15
1.0380545174173623,2.3000000000000003
4.892059842028379,1.95
1.7628751117904091,1.025
1.2458493628851246,1.1
1.0115222228439351,3.675
1.7339886718894602,2.45
0.6685489124336792,2.125
1.5486350913966078,2.85
0.8726121589897954,1.225
4.97066647108159,5.425000000000002
1.0938670263488277,2.0500000000000003
0.7280674210524974,1.3250000000000002
1.8422448140522356,1.65
1.0273732707885144,2.375
3.2664783474210037,1.025
1.0039777291934169,2.075
0.8094318108453673,7.725
0.4264639661929083,1.725
1.003725709813114,1.225
0.6809182813188033,1.4
1.5598509532581792,1.3
0.5926767486060085,2.025
0.7659590013917573,1.65
1.2244753475951553,1.225
0.8180067281094997,1.15
2.2609068565891985,1.725
0.4779372929690527,5.325
0.7007319926144284,1.4
1.3385148316516038,4.4
0.5347890867755069,2.325
2.3036429472334827,1.55
1.6573158962846375,1.7000000000000002
1.0465255765079404,1.9
1.3888137883235263,2.15
1.3272085592959233,1.85
0.7681842739766911,1.675
3.575687376005754,1.1
0.9437893514597888,1.5750000000000002
0.5177666222747528,1.1
1.0669457028849447,2.225
1.1368649421573551,1.875
1.0087541847203467,2.475
0.5805144610442409,2.375
1.1207006169061973,1.1
0.861624810790401,1.2000000000000002
1.5234239158993337,1.925
0.7817738895623568,1.2000000000000002
1.143139675138957,1.475
0.9180343930887191,2.125
0.8955808463495971,1.85
0.4378118615425699,2.95
2.0926906280120776,2.0500000000000003
4.915440256267443,1.4500000000000002
1.773013962844132,2.2
0.9046388436665674,0.925
1.1908848283031943,4.7250000000000005
0.8135563896547966,1.35
1.075765577418758,1.25
1.5085876517586982,2.25
0.9879510535156978,2.025
2.5590210280923285,1.025
0.3704740369338106,5.95
0.43704018483226864,1.15
3.4019464234075483,1.625
0.9498030005087984,2.7750000000000004
0.15409856710585906,3.975
1.9617375610421173,3.1500000000000004
0.5679934589266968,1.9
0.1253560642556788,3.475
0.4994797990862443,4.6000000000000005
1.257769840470778,4.025
0.3889109538154134,3.975
0.8675416241053149,1.65
0.7008365989354577,2.225
1.1109296936326554,1.95
0.3852455509496306,1.275
0.5053133368820775,1.675
1.2201824279841822,5.9750000000000005
1.3084195407361006,1.15
1.0808915030821806,2.4250000000000003
0.5036310923391327,2.95
0.8776157799426227,2.95
0.4089119260708958,1.35
0.965773091124244,1.6
