,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,outcome,outcome,outcome,outcome,outcome,error,error,error,error,error
,$\tau_\star$,$\gamma_d$,$\gamma_p$,"$b_{0,0}$","$b_{0,1}$","$b_{1,0}$","$b_{1,1}$","$a_{0,0}$","$a_{0,1}$","$a_{1,0}$","$a_{1,1}$",mrk97_01,mrk97_02,mrk97_07,mrk97_08,sjh06_02,mrk97_01,mrk97_02,mrk97_07,mrk97_08,sjh06_02
2435f2ca81f5209c7bf2f586d7dc9cf1,258.87239781870227,37.79935654094675,96.01333350066696,1.010042567185146,4.99135228440225,1.1566979771743373,2.3962687504291313,9.846799257663085,3.856583613910712,8.655168825168047,4.315591269469582,1.1748277630849195,1.2654668155135587,1.3881027859746087,1.2019369749661952,1.2168912582363456,4.6556940771229876,3.4300799933089223,2.9840700634921506,15.81996042340522,1.7432362026260615
c597aba7f76ed36b40d0ce7520aa4fd8,289.2507754571048,95.62155554979358,234.37497776997765,1.0007828779817503,1.3278044954309711,1.5035763724541489,2.533110790545749,6.631699256359445,1.2587644885255933,8.197613618191799,4.961898256349068,0.6376347754286198,0.6135946085724304,0.6535317619664256,0.6395974781083383,0.9084359142880382,8.774130614284505,5.536525329127504,8.750291342389367,5.8919892622263195,1.6840453967995768
02f6529f6bdb4af82f443741bf86bea6,227.7003744927141,206.96298062241152,74.62928230571853,1.0399112057324928,2.8616768115939495,1.7137370292567504,2.82754956009336,2.7311154674202385,2.6038169900535593,2.827057470704295,4.100192014257481,0.703002890189817,0.6554099360832987,0.6033667714511078,0.674603346351819,0.4957896065145008,7.139927745254576,4.961348884686401,9.55164901835291,4.540411337767608,6.269004372061102
c9bbf104ad972e80a04f8441bfa9d5ac,293.183877747815,89.04866620524298,81.93673173398524,1.006495322201072,4.9997626511402755,1.563883158469459,2.2300451763783444,9.233681123458357,3.80314592453649,9.907888579569164,3.9124877110635996,0.7728132641420885,0.7232850745132327,0.7299408796907371,0.7606377050662598,0.9382007677978659,5.394668396447788,4.027715618800101,7.529698407496213,1.2186214260131347,1.3533248022459354
8def039a3cf520c17f1c726168464f12,267.76046290314235,79.39592233042892,79.57025715142169,1.560162599480329,1.8117280569320713,1.2556149024738033,2.720460836667664,9.10099096267346,3.85749868806414,4.767947529491643,1.5354065344303378,1.097445831394903,1.1769114307010518,1.2500411014233654,1.097668304526045,1.507977507571485,2.721145784872572,2.211986667139639,0.7786118438237285,11.794143031893626,4.977527861905388
b9725f2ecc9fa52d67e54935112b149c,297.886669444299,299.4916812377244,164.25302993492716,3.754119852948238,3.7408289853504337,2.0551447677154084,1.8532090780812953,9.296414589201401,2.012716771165764,6.698800970752391,2.985656628661466,0.9976324460549978,1.016630740333071,1.0785511683040279,1.014606764054618,1.1456064308674447,0.2258111513749439,0.007300417236189673,1.9608439568046672,8.587133747282545,0.9511825651938298
1d6c61977806fde8a4c50f8519913a21,224.86731295883502,97.05738483339871,159.86640443338067,1.013777403115539,4.999826164635349,1.0273544302307238,2.2375922213267603,9.887925814305042,4.0696300614880485,8.515279345835221,3.721586524823756,1.3278398368013984,1.426649784597714,1.5101261606099414,1.3961009083124112,1.2205553163640754,8.480995920034959,5.647177229679697,4.933325249360086,23.316637386579583,1.7839479596008376
71784553aa1b62f8480e6842f7ec4bd5,282.1500666572166,113.43452915814811,243.9033837020451,1.0057716271382566,2.0645303220649582,1.1068913676167247,2.699670258857037,1.6032930084168566,2.340897198019152,6.677747870644501,2.1441190348117174,1.1275422220611642,1.123889350921012,1.247301459504132,0.9689957814102641,0.8814299366119919,3.4735555515291034,1.482659572503603,0.7348475959126523,6.826091946342243,1.9841118154223132
bfaf4f918f8d146c41d35ea3f2ec79c2,282.19647666219,103.43455644739397,245.6107253552998,1.0058980837892693,1.947833679765654,1.1593870631263585,2.4656223633855907,1.5755994725500562,2.505004061646016,5.520651858949344,1.7876490806616587,1.0123027326784753,1.0502721241672,1.212006668529721,0.9231880054212296,1.129007172669432,0.5925683169618806,0.4700429734140295,0.17103304360576707,5.057451946765621,0.7667463629936878
