pregid,postgid,frequency_train,dt_train,path,epsp_before,epsp_after,epsp_ratio,epsp_before_std,epsp_after_std,N,apical_ratio,Use_before_mean,Use_before_std,Dep_mean,Dep_std,Fac_mean,Fac_std,gmax_AMPA_before_mean,gmax_AMPA_before_std,spine_volume_mean,spine_volume_std,Nrrp_mean,Nrrp_std,Cpre_mean,Cpre_std,Cpost_mean,Cpost_std,risetime
2044,154880,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/2044-154880/50Hz_50ms/simulation.batch,0.7420262092061921,0.20512690711214557,0.27644159271892443,0.2586454577383914,0.10692558885324958,9.0,0.8888888888888888,0.4509650047356772,0.22113244408470603,732.2570585096533,160.34685884239423,23.558039470651995,20.300092779791083,0.6844820359537392,0.4380973551062016,0.0478142548495272,0.03354928847727164,1.2222222222222223,0.41573970964154905,0.04308595944809335,0.005813457207449835,0.06481587995026687,0.043562406652804406,2.5
6011,158006,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/6011-158006/50Hz_50ms/simulation.batch,1.4080577276618318,1.0587499563784568,0.7519222653865034,0.2680588050235239,0.2797363985177138,16.0,1.0,0.5498181575027687,0.25348283838629926,670.9061337849206,125.37143425915241,44.16623787075486,77.6307216050353,0.9324532564776776,0.683158025303856,0.06727278273572322,0.04896242998432417,1.4375,0.6091746465505602,0.05081738614148466,0.013377431852837579,0.025841696919222903,0.03436174719803187,2.4250000000000003
4743,155759,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/4743-155759/50Hz_50ms/simulation.batch,0.17759285590700813,0.18265100876893403,1.0284817361379361,0.07336752121175863,0.07005032642290095,3.0,0.6666666666666666,0.5024031182180805,0.10807650896548056,618.1686332809007,55.581661529760495,11.744752611969433,13.368581481818989,0.5461576148126218,0.0910135367934489,0.05420241070557847,0.01846747402023261,1.3333333333333333,0.4714045207910317,0.037087954012180575,0.01673840254985656,0.0006243021380762801,0.0006575638424336172,1.5250000000000001
343,139396,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/343-139396/50Hz_50ms/simulation.batch,0.25123853955208614,0.2743734739820297,1.0920835412878496,0.1253683967161903,0.11830542098826788,3.0,1.0,0.4821151480895218,0.1414583202533151,717.9493159121039,99.1983608634361,9.911466200815735,2.0086271394896507,0.8511051382381996,0.4594965535788549,0.07668943876379966,0.04368484436772177,1.3333333333333333,0.4714045207910317,0.035093081102631936,0.0037985637597033766,0.04478765661409742,0.06206858533701787,5.325
9899,161700,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/9899-161700/50Hz_50ms/simulation.batch,0.06252734175310906,0.03202300678233859,0.5121440618534899,0.04463070185807316,0.035381567378341396,3.0,1.0,0.3685351402840074,0.09683720610953168,694.792504270796,115.95414320255406,0.040599271232041455,0.04712045929278251,0.44505404178390706,0.1805008117398587,0.0402580876550415,0.021090364730094936,1.0,0.0,0.034344990066932916,0.010239087790285059,0.0461903798118977,0.06511450425911716,3.5
121403,147924,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/121403-147924/50Hz_50ms/simulation.batch,0.4940690116035396,0.46857444346841864,0.9483987711506611,0.15067673735455397,0.13327789202805204,4.0,1.0,0.5760661027157473,0.25937119172880657,662.2256709628538,181.14640354895218,6.744655063439731,5.51679481710983,0.9938491619074755,0.5099103419303611,0.08563638196877843,0.04085388259688194,1.5,0.5,0.036756227216745645,0.008813109655920569,0.021717698630268244,0.03739853834626526,1.85
16985,140395,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/16985-140395/50Hz_50ms/simulation.batch,0.9486935069347188,1.6812743346800272,1.77219968555737,0.283066668409903,0.23508612444377625,9.0,0.4444444444444444,0.5038960505377296,0.1853213111530994,622.6311285420252,168.04419769240798,61.77630968463037,95.16853791672553,0.8659281387788993,0.4282416084424588,0.07480293516492559,0.045517427858467255,1.2222222222222223,0.41573970964154905,0.0410554385477594,0.01626743682451079,0.04531650729474418,0.061269601569709724,2.35
15849,146465,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/15849-146465/50Hz_50ms/simulation.batch,0.656221903416485,0.4792744310869717,0.730354211878219,0.32639695762167403,0.29054815902655035,4.0,0.5,0.4609602063771345,0.1587624013093222,656.426506422804,238.61746056391783,2.3232898006641363,3.582329009839286,0.5803043578332312,0.1579385312789771,0.0337970398609873,0.017107846182705885,1.0,0.0,0.050439560352541164,0.012344973059081893,0.057171088378041635,0.05848403365546894,2.0500000000000003
23622,141506,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/23622-141506/50Hz_50ms/simulation.batch,1.0925794513151255,0.318893919946197,0.2918725220050112,0.27629444444977996,0.2233385179019433,11.0,0.9090909090909091,0.343671732208007,0.27754636168215985,628.5686556150848,114.245924164408,11.33965612487248,22.266775850730987,0.49110304461013504,0.5053323903605572,0.029980301064704836,0.019277512899746902,1.0,0.0,0.0414577205941001,0.018215177266755596,0.05017160416967399,0.010387935659038148,2.4250000000000003
7734,137111,50.0,50,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/stdp_2021/simulations/L23PC_L5TTPC/7734-137111/50Hz_50ms/simulation.batch,0.732307957047157,0.45991323664016737,0.6280325540837339,0.11485280892581803,0.19228722919984967,6.0,0.5,0.38019066355329123,0.27717842248164865,647.8885710328163,153.74666714801776,11.277573478986312,15.727456902267763,0.6780901445308204,0.7274463302772138,0.04479797748215084,0.03827017026916568,1.1666666666666667,0.3726779962499649,0.0459770752096931,0.019992431050352182,0.022668854000533322,0.032702882886531004,2.275
