config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",0.27259990325905153,0.026204691198368435,5,201812,187742
"0,0,0,0,0,1",0.42080708867740624,0.0338154250931643,5,201812,187742
"0,0,0,0,1,0",0.570883012201187,0.049800008468417714,5,201812,187742
"0,0,0,1,0,0",0.7804521180622206,0.054038245040663214,5,201812,187742
"0,0,1,0,0,0",1.9533278444958408,0.13367073722159656,5,201812,187742
"0,1,0,0,0,0",0.5032970120280972,0.03128496282827743,5,201812,187742
"1,0,0,0,0,0",0.47284112097371056,0.02501738065864048,5,201812,187742
"1,1,1,1,1,1",3.182374530912312,0.0590711550359445,5,201812,187742
