config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0",1.8101130733930961,0.0819360499215002,5,189050,184039
"0,0,0,0,0,0,0,0,1",3.118607043097086,0.12054665408914547,5,189050,184039
"0,0,0,0,0,0,0,1,0",2.7003636925793284,0.09414623544396074,5,189050,184039
"0,0,0,0,0,0,1,0,0",2.203841283657316,0.0932171819849187,5,189050,184039
"0,0,0,0,0,1,0,0,0",2.755235697710559,0.08098494865946933,5,189050,184039
"0,0,0,0,1,0,0,0,0",2.700859127849324,0.09241110303325174,5,189050,184039
"0,0,0,1,0,0,0,0,0",2.4648817014391686,0.08603437297608958,5,189050,184039
"0,0,1,0,0,0,0,0,0",2.5072968183792566,0.09222350574197909,5,189050,184039
"0,1,0,0,0,0,0,0,0",2.5266903182662466,0.08442508115905181,5,189050,184039
"1,0,0,0,0,0,0,0,0",2.5589475263443964,0.0817612030463493,5,189050,184039
"1,1,1,1,1,1,1,1,1",8.112596618657998,0.19512416982307138,5,189050,184039
