config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",0.6373852452581852,0.08216417789948054,5,209045,206221
"0,0,0,0,0,1",1.3940444310063893,0.11359172224711633,5,209045,206221
"0,0,0,0,1,0",1.0890913528380222,0.09485526029706313,5,209045,206221
"0,0,0,1,0,0",1.0132944527630747,0.08543289855846647,5,209045,206221
"0,0,1,0,0,0",0.7473777681500483,0.07464675810539624,5,209045,206221
"0,1,0,0,0,0",1.5309470413366293,0.048285874854188816,5,209045,206221
"1,0,0,0,0,0",1.069768709712504,0.06996897336679977,5,209045,206221
"1,1,1,1,1,1",3.4454185376275297,0.12974184561105825,5,209045,206221
