config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.9884582386622801,0.07009974742190907,5,183716,193937
"0,0,0,0,0,0,0,0,0,0,0,0,0,1",1.307143398097136,0.056069991406475436,5,183716,193937
"0,0,0,0,0,0,0,0,0,0,0,0,1,0",1.7934036156973339,0.08294355716154043,5,183716,193937
"0,0,0,0,0,0,0,0,0,0,0,1,0,0",1.6462922884434996,0.07437499136070183,5,183716,193937
"0,0,0,0,0,0,0,0,0,0,1,0,0,0",1.3187606014986184,0.06046078227421816,5,183716,193937
"0,0,0,0,0,0,0,0,0,1,0,0,0,0",1.1031602016793314,0.08677021416820771,5,183716,193937
"0,0,0,0,0,0,0,0,1,0,0,0,0,0",1.6470295807484838,0.1179630837044375,5,183716,193937
"0,0,0,0,0,0,0,1,0,0,0,0,0,0",1.3277439549185612,0.09157173327720665,5,183716,193937
"0,0,0,0,0,0,1,0,0,0,0,0,0,0",1.6453011623682279,0.09224966829040218,5,183716,193937
"0,0,0,0,0,1,0,0,0,0,0,0,0,0",1.5495072417643359,0.05907691467428732,5,183716,193937
"0,0,0,0,1,0,0,0,0,0,0,0,0,0",1.3240436396884179,0.04915247152177169,5,183716,193937
"0,0,0,1,0,0,0,0,0,0,0,0,0,0",1.7574610516987228,0.06353524749710349,5,183716,193937
"0,0,1,0,0,0,0,0,0,0,0,0,0,0",1.4987721918263164,0.03420435416625616,5,183716,193937
"0,1,0,0,0,0,0,0,0,0,0,0,0,0",1.6673510093251473,0.0809143750730775,5,183716,193937
"1,0,0,0,0,0,0,0,0,0,0,0,0,0",1.5361464748342264,0.10922118946103011,5,183716,193937
"1,1,1,1,1,1,1,1,1,1,1,1,1,1",7.399396044548976,0.15306315853953711,5,183716,193937
