config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",0.5193321253180394,0.07149997628772876,5,209974,188693
"0,0,0,0,1",1.017457400628786,0.10127088116986667,5,209974,188693
"0,0,0,1,0",1.1195431214540064,0.03169567468198486,5,209974,188693
"0,0,1,0,0",1.2172404053042751,0.07376076250570913,5,209974,188693
"0,1,0,0,0",0.7817710006290413,0.0773058212948331,5,209974,188693
"1,0,0,0,0",1.335535735474134,0.08534869108236906,5,209974,188693
"1,1,1,1,1",3.231253432407437,0.08922238517341798,5,209974,188693
