config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0,0",2.34104236068947,0.0585623185836378,5,196194,189571
"0,0,0,0,0,0,0,0,0,0,1",2.4894864961214744,0.04847812309360706,5,196194,189571
"0,0,0,0,0,0,0,0,0,1,0",2.9541510101475925,0.15404681896275388,5,196194,189571
"0,0,0,0,0,0,0,0,1,0,0",2.6869882782640966,0.05834879303667109,5,196194,189571
"0,0,0,0,0,0,0,1,0,0,0",2.757745372198876,0.04845746074689944,5,196194,189571
"0,0,0,0,0,0,1,0,0,0,0",2.7444914733271872,0.0791135257136326,5,196194,189571
"0,0,0,0,0,1,0,0,0,0,0",4.975164070872812,0.10198321583497136,5,196194,189571
"0,0,0,0,1,0,0,0,0,0,0",3.998805051599818,0.08490811322603535,5,196194,189571
"0,0,0,1,0,0,0,0,0,0,0",4.244452683708069,0.09269629584938265,5,196194,189571
"0,0,1,0,0,0,0,0,0,0,0",3.7655217925502322,0.1561276592534859,5,196194,189571
"0,1,0,0,0,0,0,0,0,0,0",3.6236363620022005,0.05849784217016296,5,196194,189571
"1,0,0,0,0,0,0,0,0,0,0",4.344530733407616,0.15690412867352857,5,196194,189571
"1,1,1,1,1,1,1,1,1,1,1",13.595000936850468,0.1815501708811204,5,196194,189571
