config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",0.9196725852710526,0.09625027028426224,5,202574,197938
"0,0,0,0,1",2.244112944033426,0.14371630030390686,5,202574,197938
"0,0,0,1,0",1.173609357703808,0.09902769142893524,5,202574,197938
"0,0,1,0,0",1.6503022469493214,0.10910215013865884,5,202574,197938
"0,1,0,0,0",1.3294930611746874,0.15059115438926363,5,202574,197938
"1,0,0,0,0",1.5969394688880496,0.074899877119526,5,202574,197938
"1,1,1,1,1",3.9613009018395973,0.11971311232981377,5,202574,197938
