tag,generation,pre_gid,post_gid,protocol_id,epsp_ratio
chindemi,1,204120,188861,mrk97_08,1.004585887527658
chindemi,1,204120,188861,mrk97_07,2.0367682453873437
chindemi,1,201258,187071,mrk97_07,1.4689885747805942
chindemi,1,187417,207485,mrk97_08,0.6831823827976489
chindemi,1,187417,207485,mrk97_07,1.208571586467592
chindemi,1,180236,203656,mrk97_08,0.8427127991372034
chindemi,1,180329,189548,mrk97_07,1.0087665361954714
chindemi,1,199932,195364,mrk97_08,1.4230502754823793
chindemi,1,205643,189193,mrk97_08,0.8978466284039668
chindemi,1,180236,203656,mrk97_07,1.273564654432743
chindemi,1,198910,188914,mrk97_08,0.31000321293565314
chindemi,1,209495,189342,mrk97_08,1.7286925065873398
chindemi,1,209495,189342,mrk97_07,1.7286925065873398
chindemi,1,200586,209048,mrk97_08,1.0078849821601983
chindemi,1,205300,191467,mrk97_08,1.006899213570784
chindemi,1,198910,188914,mrk97_07,0.31000321293565314
chindemi,1,186810,208210,mrk97_07,1.384754465738694
chindemi,1,201258,187071,mrk97_08,1.4689885747805942
chindemi,1,199932,195364,mrk97_07,1.9211587799347956
chindemi,1,196430,183658,mrk97_08,1.0028571319631348
chindemi,1,208976,188476,mrk97_08,1.8145942868918024
chindemi,1,185337,193957,mrk97_08,0.3049201328318879
chindemi,1,208976,188476,mrk97_07,1.8145942868918024
chindemi,1,206314,189443,mrk97_08,1.023409146991511
chindemi,1,185337,193957,mrk97_07,1.0783071513207079
chindemi,1,182581,208651,mrk97_08,0.5338724475551712
chindemi,1,181295,210119,mrk97_07,0.8193866190525836
chindemi,1,181295,210119,mrk97_08,0.8512683838940089
chindemi,1,185785,189513,mrk97_08,1.7368361040315425
chindemi,1,210209,180231,mrk97_07,1.8450465990544054
chindemi,1,185785,189513,mrk97_07,2.0537309011997174
chindemi,1,189027,190257,mrk97_08,1.0084353906103503
chindemi,1,190392,207670,mrk97_08,1.0019294419770197
chindemi,1,189027,190257,mrk97_07,1.6709048669840323
chindemi,1,210209,180231,mrk97_08,1.0166828645092352
chindemi,1,196430,183658,mrk97_07,1.1422435061347542
chindemi,1,182581,208651,mrk97_07,0.5338724475551712
chindemi,1,189415,192019,mrk97_08,3.7959425459624643
chindemi,1,205300,191467,mrk97_07,2.002163266292296
chindemi,1,200586,209048,mrk97_07,1.4645850565377385
chindemi,1,190392,207670,mrk97_07,1.4221280111853476
chindemi,1,199521,190468,mrk97_08,0.9225560720646709
chindemi,1,180164,197248,mrk97_07,1.3296397859170084
chindemi,1,196748,180959,mrk97_07,1.6285228587401281
chindemi,1,183796,186882,mrk97_07,1.1673028367681957
chindemi,1,205643,189193,mrk97_07,1.5546772588591786
chindemi,1,206314,189443,mrk97_07,2.3128068772986468
chindemi,1,205327,192314,mrk97_07,1.9751049072309852
chindemi,1,186407,182154,mrk97_08,0.9284647622281058
chindemi,1,186407,182154,mrk97_07,1.476134189837679
chindemi,1,180164,197248,mrk97_08,1.3296397859170084
chindemi,1,203710,206592,mrk97_08,1.0167669035745706
chindemi,1,180329,189548,mrk97_08,1.0087665361954714
chindemi,1,186810,208210,mrk97_08,1.384754465738694
chindemi,1,199521,190468,mrk97_07,1.1520904707784563
chindemi,1,205327,192314,mrk97_08,1.9751049072309852
chindemi,1,189415,192019,mrk97_07,3.7959425459624643
chindemi,1,196748,180959,mrk97_08,1.336042447250693
chindemi,1,203710,206592,mrk97_07,1.331735158494019
chindemi,1,183796,186882,mrk97_08,1.4340701304495822
