,pregid,postgid,frequency_train,dt_train,path,epsp_before,epsp_after,epsp_ratio,risetime,epsp_before_amplitude,epsp_after_amplitude,epsp_ratio_amplitude
0,90859,9462,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/90859-9462/0Hz_10ms/simulation.batch,0.0877736093938797,0.0910808662565049,1.0376793991435862,1.3250000000000002,7.594796662907011,7.895239613602272,1.0395590512860766
1,97125,4498,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/97125-4498/0Hz_10ms/simulation.batch,0.0112369341852944,0.013249681535438,1.1791189052951587,1.5750000000000002,1.1774452398407056,1.3667176728945676,1.1607483954663305
2,89002,17938,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/89002-17938/0Hz_10ms/simulation.batch,0.0287943464278122,0.0274038790077896,0.951710401779444,2.0500000000000003,3.883099347194908,3.770428050388477,0.9709841838355688
3,100058,7011,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/100058-7011/0Hz_10ms/simulation.batch,0.0241476505209949,0.0433832148785196,1.7965811970320065,1.925,3.078581303835974,5.0268647490973,1.632851061244907
4,92743,15750,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/92743-15750/0Hz_10ms/simulation.batch,0.003065846303478,0.0041830957118753,1.3644179446079432,1.75,0.357304919076271,0.5419451051443834,1.516758029935487
5,98117,123753,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/98117-123753/0Hz_10ms/simulation.batch,0.0222599861232719,0.0255455041188425,1.1475974862417255,1.3250000000000002,1.943332628684555,2.3019285533189504,1.1845262716949951
6,92722,3098,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/92722-3098/0Hz_10ms/simulation.batch,0.0183093603483277,0.0331804597921837,1.8122129425026183,1.675,2.0469594523236654,2.7788973646352435,1.3575732345263103
7,91659,120773,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/91659-120773/0Hz_10ms/simulation.batch,0.0159699542359478,0.0188122830961908,1.1779797749103753,1.9,1.9472211857395163,2.3932708580479143,1.2290698537870504
8,96554,14729,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/96554-14729/0Hz_10ms/simulation.batch,0.0018239294378496,0.0019625717485358,1.0760129793451036,2.475,0.2957829359097239,0.3181843374004056,1.075735949478569
9,92094,5000,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/92094-5000/0Hz_10ms/simulation.batch,0.0128390212249892,0.0173019110934425,1.347603589887908,2.325,1.950414770351108,2.398019543312239,1.2294920956123372
10,103244,17768,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/103244-17768/0Hz_10ms/simulation.batch,0.0235501482947906,0.0407426352897927,1.7300373135571807,1.15,1.796668193776195,3.074978166429326,1.711489175954303
11,93874,1832,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/93874-1832/0Hz_10ms/simulation.batch,0.0141541841070403,0.0177468736717015,1.253825267319659,2.0500000000000003,1.9142694305300287,2.429627602083011,1.2692192453861044
12,93092,117702,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/93092-117702/0Hz_10ms/simulation.batch,0.0029656785407718,0.0072825042499209,2.455594613442364,1.5750000000000002,0.3103139514950361,0.6239858092416334,2.0108209967208475
13,97312,21941,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/97312-21941/0Hz_10ms/simulation.batch,0.0690530643467262,0.0711602352497304,1.0305152410387428,1.375,6.046888348646873,6.058332869361916,1.001892629738666
14,99023,24822,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/99023-24822/0Hz_10ms/simulation.batch,0.0259505262526095,0.0314406598982155,1.211561553402176,1.75,3.0072285690142806,3.537513606924537,1.1763367917471186
15,108211,9567,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/108211-9567/0Hz_10ms/simulation.batch,0.0043196020848677,0.0051355178759937,1.188886794453648,2.25,0.6425257903792425,0.786796785973717,1.2245372835685249
