config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",1.995690883381468,0.14081037883998773,10,160701,202526
"0,0,0,0,0,1",1.9956715089009762,0.14090349573129834,10,160701,202526
"0,0,0,0,1,0",1.9957646915376883,0.14087137528658475,10,160701,202526
"0,0,0,1,0,0",1.995922596238222,0.14086564394131074,10,160701,202526
"0,0,1,0,0,0",2.306197227643588,0.014106492428208208,10,160701,202526
"0,1,0,0,0,0",2.201346021394424,0.06257018147267734,10,160701,202526
"1,0,0,0,0,0",2.1819863193035474,0.09796692563205643,10,160701,202526
"1,1,1,1,1,1",2.8782198005367947,0.018238004490100015,10,160701,202526
