config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0",1.631731570239451,0.1119376568511528,10,10485,207485
"0,0,0,0,0,0,0,0,0,1",1.764360352075154,0.09271060495914366,10,10485,207485
"0,0,0,0,0,0,0,0,1,0",1.8339206506382297,0.1291554983689791,10,10485,207485
"0,0,0,0,0,0,0,1,0,0",1.859713676055422,0.1486620760221778,10,10485,207485
"0,0,0,0,0,0,1,0,0,0",1.829257684890753,0.10326662789806576,10,10485,207485
"0,0,0,0,0,1,0,0,0,0",1.855244102614043,0.10169981033826672,10,10485,207485
"0,0,0,0,1,0,0,0,0,0",2.126524022708746,0.13000690895990694,10,10485,207485
"0,0,0,1,0,0,0,0,0,0",1.7810089201877985,0.13122292501295602,10,10485,207485
"0,0,1,0,0,0,0,0,0,0",1.985165152091072,0.12389754993393505,10,10485,207485
"0,1,0,0,0,0,0,0,0,0",1.8595689241812394,0.11691500819978327,10,10485,207485
"1,0,0,0,0,0,0,0,0,0",1.6431314666805605,0.113611008763346,10,10485,207485
"1,1,1,1,1,1,1,1,1,1",3.663111047518764,0.10628571651285652,10,10485,207485
