config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",1.5419500999579754,0.054768727593223224,10,14337,188497
"0,0,0,0,0,1",1.634328283077238,0.06257532164267714,10,14337,188497
"0,0,0,0,1,0",1.6792133614782643,0.046412258742697,10,14337,188497
"0,0,0,1,0,0",1.7322365532227466,0.0371741726694767,10,14337,188497
"0,0,1,0,0,0",1.7431445719992282,0.055006914708720434,10,14337,188497
"0,1,0,0,0,0",1.6732630958295176,0.0696109121456233,10,14337,188497
"1,0,0,0,0,0",1.6582839684607193,0.037972239249654996,10,14337,188497
"1,1,1,1,1,1",2.3819827226229564,0.07856920001972395,10,14337,188497
