config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0,0,0,0",1.3026290266485518,0.16496580389357832,10,9698,206969
"0,0,0,0,0,0,0,0,0,0,0,0,1",1.3747651245663122,0.1505148208539253,10,9698,206969
"0,0,0,0,0,0,0,0,0,0,0,1,0",1.3778803207425696,0.15129680814646596,10,9698,206969
"0,0,0,0,0,0,0,0,0,0,1,0,0",1.4510591514409215,0.11850461491988744,10,9698,206969
"0,0,0,0,0,0,0,0,0,1,0,0,0",1.4089196757556437,0.1685523336303951,10,9698,206969
"0,0,0,0,0,0,0,0,1,0,0,0,0",1.4225525966681716,0.16838112460098476,10,9698,206969
"0,0,0,0,0,0,0,1,0,0,0,0,0",1.4978183845469686,0.15604755911057994,10,9698,206969
"0,0,0,0,0,0,1,0,0,0,0,0,0",1.6360799129460943,0.08989798956054748,10,9698,206969
"0,0,0,0,0,1,0,0,0,0,0,0,0",1.5415289840305733,0.08516689644973234,10,9698,206969
"0,0,0,0,1,0,0,0,0,0,0,0,0",1.4735913641884053,0.08872525351660739,10,9698,206969
"0,0,0,1,0,0,0,0,0,0,0,0,0",1.3934751302450294,0.16899270563594143,10,9698,206969
"0,0,1,0,0,0,0,0,0,0,0,0,0",1.530557494036671,0.0890067634343499,10,9698,206969
"0,1,0,0,0,0,0,0,0,0,0,0,0",1.469727030512385,0.15925739689832447,10,9698,206969
"1,0,0,0,0,0,0,0,0,0,0,0,0",1.4590331467088802,0.11603789091150789,10,9698,206969
"1,1,1,1,1,1,1,1,1,1,1,1,1",3.445774712294461,0.13196518721084433,10,9698,206969
