config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",0.11424165816509628,0.029321009330504706,10,170209,188983
"0,0,0,0,0,1",0.16295254316386548,0.02787935136603036,10,170209,188983
"0,0,0,0,1,0",0.1266412568876632,0.03149454199035006,10,170209,188983
"0,0,0,1,0,0",0.4101740270661594,0.032105543008971026,10,170209,188983
"0,0,1,0,0,0",0.12525150728120735,0.024225128056015528,10,170209,188983
"0,1,0,0,0,0",0.12626867763859906,0.028754213523741225,10,170209,188983
"1,0,0,0,0,0",0.12120595402137298,0.026726769763307696,10,170209,188983
"1,1,1,1,1,1",0.46173012488487897,0.030897824453525683,10,170209,188983
