,$U_\mathrm{SE}$,$\tau_\mathrm{dep}$ (ms),$\tau_\mathrm{fac}$ (ms),$N_\mathrm{RRP}$,$\hat G_\mathrm{AMPAR}$ (nS),$\hat G_\mathrm{NMDAR}$ (nS),$X$ ($\mu m^3$),$\theta_d$,$\theta_p$
0,0.5048781175273273,649.4682682968997,24.248610166755878,1.0,0.4992912701579689,0.19971650806318758,0.04297719800103265,0.022118334891031023,0.025740092645727023
1,0.3905058363522518,847.6519447139673,0.0005779554036440154,1.0,0.9124580658959054,0.36498322635836217,0.06079245605431474,0.027708373903892854,0.03218652478699938
2,0.3599227114873347,765.758404555032,0.8049543675484532,1.0,0.36850022504904756,0.14740009001961904,0.05357987357246222,0.013380370258162291,0.015568346240217764
3,0.25323968722033935,526.2407236820144,43.26051304765406,1.0,0.5792469635222199,0.231698785408888,0.07569966067125032,0.013844727475357341,0.01608929918388728
4,0.08809966751642302,670.3405896728201,12.980476432772925,1.0,0.3404499070410111,0.13617996281640443,0.021711434720301313,0.03159547087671919,0.03715331335370123
5,0.5979774269659206,736.3647582549117,5.432975631575116e-05,1.0,0.9868579630428898,0.3947431852171559,0.04373548787576241,0.043712706194037054,0.05062539115489833
6,0.2603188269816761,676.8704045414999,6.338627671699668,1.0,0.15620373410950536,0.06248149364380215,0.011608136290898729,0.02239512847968271,0.025934660622899133
7,0.1871184733682057,754.0697027554406,11.302125252535454,1.0,0.26624371115854195,0.10649748446341678,0.021056661722234284,0.021414187077464186,0.024809662914095698
8,0.7463230787997622,614.6795771080234,0.5414343421943727,1.0,0.9477374385427622,0.3790949754171049,0.07035180379550375,0.023168591723461883,0.02683483906796971
9,0.29175699799156457,635.133400749815,0.18205595733177563,1.0,0.3343919150147129,0.13375676600588515,0.023933800478609643,0.04504012850906059,0.05437524000592894
10,0.7046190758286819,832.8509267775561,1.0279681848868487,1.0,1.0834979118638466,0.43339916474553863,0.06495528343529593,0.0624969662036193,0.0760111589240014
11,0.295014621237802,688.9924054305263,1.0323225627718499e-05,1.0,0.6187032697476867,0.24748130789907472,0.053554454132128365,0.04421573090382959,0.05379953314650823
12,0.34557213099195583,805.4350037481755,0.6528100864230126,1.0,0.28751684300805425,0.1150067372032217,0.04899379419301218,0.026152090541932533,0.03202649182348839
13,0.721997237740069,673.5079098506113,1.599904259066619,1.0,0.6536201677290517,0.2614480670916207,0.016364561772478036,0.10380962033532054,0.12331164406292776
14,0.0956858380152141,713.0800695271587,51.65447171216555,1.0,0.1593048706816987,0.06372194827267949,0.008706182961968989,0.03984663720842707,0.046126404434733176
15,0.18224140027734498,612.3285961376477,0.003123093102954011,1.0,0.415522547279265,0.16620901891170603,0.025560356145796284,0.03863939178025921,0.04472592691633254
16,0.3236144658184057,588.4023768564929,15.902981159449265,1.0,0.31320690509996674,0.1252827620399867,0.018514608841366458,0.03287522206443138,0.038143055825436596
17,0.531648794699336,669.9059497952062,11.520579727835159,1.0,0.9487356141313176,0.37949424565252704,0.06445764928628753,0.0284236809504488,0.032958695648737796
18,0.22858402789272764,659.0151382600839,6.842709907275529e-09,1.0,0.3065337005002698,0.12261348020010793,0.021408628106600006,0.19780662598090293,0.22892838928411108
19,0.5299005489361882,854.4926639778374,0.0014557089808074732,1.0,0.4880798347364955,0.19523193389459823,0.01880119055000899,0.3273692851727163,0.37887059013130414
20,0.17968700072369354,738.0167287688311,0.00612494659463055,1.0,0.19634868950896292,0.07853947580358517,0.013156368434692546,0.027332089299633013,0.0316413799421044
21,0.17680797777077514,527.9103115094156,108.94782576994095,1.0,0.4667323244402636,0.18669292977610544,0.02077708342764498,0.04333722846988378,0.05024705457656171
22,0.8900351675672107,712.6772481973906,0.007430090786469489,2.0,1.5501355048394492,0.6200542019357798,0.12786371464225652,0.023394691064929432,0.02712568575475349
23,0.47251989407144857,853.4121923924151,36.738462253557394,1.0,0.6632774087365553,0.26531096349462213,0.06271283649443816,0.025353974599267762,0.03004549961400238
24,0.4852648135243458,561.4887251313036,6.778679792966551e-06,1.0,0.6336317851716752,0.2534527140686701,0.0772295377920079,0.01586649029123309,0.018394579823930318
25,0.2915084860436478,683.2853241439892,8.229300540314929,1.0,0.31712038358790845,0.1268481534351634,0.028608529150932385,0.08639805282358584,0.09999558995569383
26,0.8825079744916201,493.2682530806548,0.00037379673066500297,2.0,1.695308914473153,0.6781235657892613,0.10978988128190602,0.15274635129030661,0.1767770555506381
