,$U_\mathrm{SE}$,$\tau_\mathrm{dep}$ (ms),$\tau_\mathrm{fac}$ (ms),$N_\mathrm{RRP}$,$\hat G_\mathrm{AMPAR}$ (nS),$\hat G_\mathrm{NMDAR}$ (nS),$X$ ($\mu m^3$),$\theta_d$,$\theta_p$
0,0.9697434112916001,814.9653008218243,11.336751894669911,2.0,1.433299385636768,1.2326374716476205,0.1352724664813403,0.06118100985989198,0.07101121013424115
1,0.9295732596894507,762.080328331706,2.9083799707618563,3.0,0.9517275086178549,0.8184856574113553,0.10812141704922126,0.05454995940889812,0.06355242407817976
2,0.7864529483706232,527.696840790122,36.70813223959441,1.0,0.29771616473343104,0.2560359016707507,0.029215722936969935,0.06477690018134973,0.07589399659101229
3,0.8829343229932005,663.6761242852897,21.925733136779964,2.0,0.7876388255274249,0.6773693899535854,0.06217471836125118,0.09900995905099307,0.11460016678039359
4,0.7081413786967625,816.4155024114779,0.005870927469629939,1.0,0.22137468571381766,0.1903822297138832,0.044743583523938674,0.03928974968277065,0.045488135009584346
5,0.8054979955929311,595.79524512558,0.31085523471788956,1.0,0.2973488546295583,0.2557200149814201,0.045662428852209766,0.05225254345420319,0.06048970657987116
6,0.9107909945265944,499.3511848616527,14.207047534549426,1.0,0.64576729990081,0.5553598779146967,0.06790704954259019,0.07614568464554075,0.08813879886056014
7,0.9334725155117982,501.17984573432375,83.8436145479162,1.0,0.7264299423789725,0.6247297504459164,0.03997704668176122,0.14573051239400553,0.1686701640584772
8,0.8765249275933957,576.2605888005064,0.2868362054692058,1.0,0.48364797481538013,0.4159372583412269,0.047371964406095396,0.0788623138606274,0.0912856462016532
9,0.8537568786423202,608.9089196769751,0.02925622714265276,2.0,0.6166809555828568,0.5303456218012569,0.14721092012748166,0.051626023635526014,0.06244339025494149
10,0.8886373347413796,347.1816709321804,4.8442510364175675,1.0,0.6179868407153,0.5314686830151579,0.05026562118946162,0.0816458236670632,0.09451351546806146
11,0.9194846471537512,568.9313152706125,55.53779822842787,2.0,0.8823128389868459,0.7587890415286874,0.12170614330894075,0.048868803057553416,0.05657084539691972
12,0.7760259113838651,506.49963597952166,0.025050678867028567,1.0,0.158571641092379,0.13637161133944595,0.040195050056285805,0.026758655752974963,0.030989792107826174
13,0.9482202008946397,593.6652580252207,0.11869493574841669,1.0,0.9398866730344593,0.808302538809635,0.051126884124703106,0.19380687416144016,0.2243040066447524
14,0.8605208471447805,699.4354997284505,9.839751040113502,1.0,0.4855756840548489,0.41759508828717007,0.09228795846803088,0.05579079693741651,0.06457676458419331
15,0.734217321087163,646.2748382056016,27.207248136768676,1.0,0.08268317850782123,0.07110753351672626,0.015526691564932442,0.05889665443061519,0.06817916685612298
16,0.8580646256608384,630.4018837054026,6.636891571853114e-08,1.0,0.6103598573952987,0.524909477359957,0.05603895859330898,0.11901039797824521,0.13774190217402893
17,0.46203556082331043,626.1280005490785,0.014330467745473986,1.0,0.018438785046130737,0.015857355139672433,0.011685211053762851,0.018331919178605813,0.021235746219106455
18,0.7083119639838055,787.0535297323844,7.496508914364854e-05,1.0,0.1310501215509727,0.11270310453383653,0.0060690288410288305,0.23262467089487301,0.2692397956695273
19,0.8784115674670085,810.212954647239,13.545860279322646,1.0,0.6331862350370369,0.5445401621318517,0.06892339212851932,0.07702678192017005,0.08915814726100112
20,0.6885963501496654,504.3878053526741,1.2559919922662284,1.0,0.11389257465370864,0.09794761420218943,0.02601493319726556,0.03705690014838396,0.043672177784967736
21,0.7844252833443313,576.9268841752233,0.15444342783171394,1.0,0.29618729993670806,0.2547210779455689,0.031103915059860803,0.07200001336678344,0.0840681323453124
22,0.5985233843375246,622.0399874635574,1.0778326992324936,1.0,0.07837398553784261,0.06740162756254464,0.02763150790837321,0.024009697160404485,0.02780744259646582
23,0.900528105727389,644.0224484230699,30.947250441200428,1.0,0.6513404203231242,0.5601527614778868,0.052468173904358956,0.16849285858201396,0.19500752719325895
24,0.8433723132003532,628.3793649020373,7.595349164703034,1.0,0.25676968429066144,0.22082192848996884,0.02794474206300343,0.07391627973166193,0.08555780437178813
25,0.9123949448428978,711.8305143912145,0.15992498295870655,1.0,0.4286151833476727,0.3686090576789985,0.029198546760362647,0.10343432286898245,0.12010709266548568
26,0.44019349792522233,387.68416487334264,0.009201223671535563,1.0,0.03288693125833199,0.02828276088216551,0.0024224743492777296,0.09380087806561972,0.10877710745288044
27,0.9079438577330419,480.98077903910206,60.35446783452435,2.0,0.8247043189015869,0.7092457142553648,0.10283193974172775,0.06397023891162629,0.07524013993410314
28,0.8041211855614524,506.10137567384885,0.47577217086711215,1.0,0.4869742224583832,0.4187978313142095,0.05128051212878771,0.06550071134497912,0.075903865094186
29,0.700952199640521,743.2012577812069,225.48025784649,1.0,0.2568207612368742,0.2208658546637118,0.01588995628869065,0.11125869763304441,0.12890638183360362
30,0.8773308927273898,713.9800159444496,1.654852093306854,1.0,0.5526900205152551,0.47531341764311935,0.053697199270689694,0.07361691009281301,0.0857736643654166
31,0.8549160459199752,700.0265362167904,0.8043249587511784,2.0,0.6418841335472301,0.5520203548506178,0.060479278461713866,0.0730427320549728,0.08462687887701242
32,0.9389176221936311,561.2223138831602,2.774956381149895,1.0,0.9062641805821039,0.7793871953006093,0.05149844876653073,0.12363212409424586,0.14373564895160276
33,0.8147276997623014,890.4906254450401,0.9489907964620709,1.0,0.3377031948274963,0.29042474755164677,0.04981034857794862,0.046532608585543755,0.05388918418561454
34,0.7206977056286576,782.0218815430206,2.4075392325884956e-08,1.0,0.19419231080508206,0.16700538729237058,0.048213888326041454,0.027875005835913666,0.03252081902603295
35,0.8999728786097625,931.7182834132316,0.38513889983747496,1.0,0.5874090833838685,0.5051718117101269,0.04816978822498451,0.08065765262365635,0.09348870097838312
36,0.9089544329739095,727.344439229235,0.0035645684153153947,2.0,0.8192198694877971,0.7045290877595055,0.09025049423066948,0.06034976679187921,0.06989755941887799
37,0.7846715767190348,683.2429438660305,38.17471258290818,1.0,0.4461403202009176,0.3836806753727891,0.053475821339084836,0.04565526103222628,0.0529267951123786
38,0.8678861382854721,696.383912285045,0.0025456249644793074,2.0,0.5228834226735214,0.4496797434992284,0.0777099841555644,0.040560440732421835,0.04712197514395002
39,0.8407256825520167,496.90480162101704,0.33449160519953874,2.0,0.7948535537044714,0.6835740561858454,0.09281105278435901,0.05107416007120132,0.05927920229622645
40,0.9020732448556166,685.4349145179164,0.904321057219061,2.0,0.829602115154142,0.7134578190325621,0.05828747001877569,0.09531699268304304,0.1103357482066336
41,0.9049601013138437,576.5992232327502,2.079550371871981,1.0,0.42953139727959844,0.36939700166045464,0.025535415146163712,0.11801491941248383,0.13662335068237622
42,0.9563945440391771,485.1557544755572,14.711449402418603,1.0,0.5975022944371755,0.513851973215971,0.038393402220711165,0.11020735424477547,0.1275815342661035
43,0.965047057291768,518.8879985035178,1.5936136096448525,1.0,0.8243569556980437,0.7089469819003176,0.03165126488313384,0.27841335307515486,0.3222337029854541
44,0.9090395922861143,694.939265037294,2.97407532325386,2.0,0.5510906968338806,0.47393799927713726,0.06854485572712717,0.08631893823142786,0.09991793298968209
45,0.7616507872928706,730.9841223675243,7.695283498704489,1.0,0.40129307886602456,0.3451120478247811,0.029443206688846788,0.2091187445406826,0.24203523064924454
46,0.8236464052214765,510.87293899531414,19.35061809966863,1.0,0.32298905918984794,0.2777705909032692,0.04131781171457739,0.12285142696001673,0.14219618976718443
47,0.6988754552820503,1088.0368235051112,0.15072640352938735,1.0,0.19881705480203618,0.1709826671297511,0.021700098819909138,0.1442971894938731,0.16702027251388962
48,0.9701530565178034,563.1965557650364,15.195120688260975,2.0,1.422877157815695,1.2236743557214975,0.07761795150538735,0.30107364951823834,0.3484473291385369
49,0.875880638610299,728.7704619294666,26.429162722100834,1.0,0.4123761579923605,0.35464349587343,0.0555686718615849,0.13003862848527237,0.15051180966993288
50,0.8675332070526356,628.691441192994,54.712490357741956,1.0,0.4526290745694957,0.3892610041297663,0.037315875111465176,0.21440064792066738,0.24814602571174638
51,0.8537529540502992,778.232628557713,21.79782007838718,1.0,0.47455152541771933,0.40811431185923863,0.04362853903150519,0.19323231030943222,0.22364696407251825
52,0.8320366561196224,750.9711956735448,17.63007329163209,2.0,0.6315363411280689,0.5431212533701393,0.07040855139451231,0.06512454733907348,0.07540544156065486
53,0.9225877250774991,661.095230790883,12.211599979284497,1.0,0.7170781956904817,0.6166872482938143,0.08771911990724174,0.06091699126011598,0.07051697314496508
54,0.8137159094365136,679.3812875031774,1.089562535659704,1.0,0.2908673911440039,0.25014595638384335,0.046562693342568635,0.03928162155029974,0.04552613263066265
55,0.7827853684804452,633.8391488594202,21.334205740531605,1.0,0.37252961052405853,0.3203754650506903,0.04682238405989203,0.04942780132609478,0.05724724827771226
56,0.797379084307765,765.7911583653665,0.0003727431269930516,1.0,0.198629066804508,0.17082099745187687,0.01641102078161817,0.07739792553767232,0.0899427967457923
57,0.9390431885117204,867.1299766226156,10.060289169094007,3.0,1.4861658046933233,1.278102592036258,0.14936199732981972,0.06755145758271346,0.07821225688691877
58,0.6481970362722282,663.3844655769236,0.7769452332739049,1.0,0.09177208034963633,0.07892398910068724,0.004031780946206041,0.14928899381579475,0.17281211573961028
59,0.6834892437829065,493.25793214012515,6.291482704622261,1.0,0.24956605383788646,0.21462680630058237,0.01242006415190272,0.13141563654969612,0.15215789291684126
60,0.8168696485673204,729.6272164121148,84.85317153415309,1.0,0.3455730369250963,0.2971928117555828,0.029662628713491727,0.08325550787928668,0.09636548102467628
61,0.7353031955153915,615.2966368888135,2.18999763551571,1.0,0.16137151300560337,0.1387795011848189,0.013596783592029649,0.0796817436726099,0.09223519825565477
62,0.9332499872067689,704.3402460693461,44.42088524768407,1.0,0.4393927103916689,0.37787773093683524,0.05498630728401371,0.053063307242546626,0.061613459816429975
63,0.8129474986191062,446.7556690762458,199.09041480569965,1.0,0.3392740946634003,0.29177572141052427,0.03724420458301363,0.0686757606709992,0.08068452731766944
64,0.9391616869338513,938.5566457587554,0.08114228703254298,2.0,0.9767145900240823,0.8399745474207108,0.1468810150074302,0.04485562395495746,0.051999879447359836
65,0.8796887009999239,694.5206053127046,0.119632502378254,1.0,0.574463152927099,0.49403831151730515,0.09671507348328227,0.040078092231097075,0.04648742541463199
66,0.7029563464335957,717.5096101318143,0.3383566181445167,1.0,0.23138829383229248,0.19899393269577154,0.03475316097561839,0.04447459631231886,0.05158790664059589
67,0.9314349507076208,514.2894847348755,6.3966294644351605,2.0,1.0075078128282655,0.8664567190323084,0.05689905117732697,0.127989615834624,0.14819045067085224
68,0.9520146617155528,684.9404497549117,124.16638559278212,2.0,1.5225171264296171,1.3093647287294707,0.11066869120342786,0.1406417542118826,0.16278056106808336
69,0.896708471280807,642.5723988561557,22.146311513861924,1.0,0.6933767567002541,0.5963040107622185,0.04140941003246008,0.11479083351985796,0.13528695767761784
70,0.8718070940507266,692.420122547,62.43108679597226,2.0,0.9125392291729041,0.7847837370886975,0.11854326128381373,0.058384876508656314,0.06932694842116455
71,0.9121287407123562,741.557748864039,172.06492655191695,2.0,0.6721965398079344,0.5780890242348236,0.0811113482594951,0.08670134131819004,0.10502586490513932
72,0.9370258341820408,598.2005886326066,0.08849665606583586,2.0,1.259141678976351,1.0828618439196618,0.18511853276612336,0.06355728789850094,0.07576509194634848
73,0.8829234285588388,707.3539517851201,0.6495451969014628,1.0,0.5778044549655084,0.49691183127033717,0.06258373718439232,0.06197580036135785,0.07187688983075723
74,0.8686248102809381,673.8254601227329,15.142731359416445,1.0,0.6285126733542468,0.5405208990846522,0.05483664256143496,0.1532575681912148,0.17738262582255626
75,0.9607519153118507,647.7664231779963,7.851501399474755e-06,3.0,1.20147199384165,1.033265914703819,0.16710697561092822,0.05568865226421249,0.06447158390515116
76,0.8868101649401843,823.5595558996857,3.122295787864377,1.0,0.7745891500055654,0.6661466690047863,0.06463253212105863,0.08642626012203664,0.10008092485287302
77,0.9655881213457074,736.0648080427667,5.158596378165813,2.0,1.4323317659736665,1.2318053187373532,0.09938554404882773,0.10650594624105608,0.12380855965614038
78,0.8959208359326349,509.6084441284127,2.3602354701967285,2.0,1.067595031210643,0.918131726841153,0.08669464334645065,0.09193409802347492,0.10696920689483017
79,0.933822273977993,716.8989450581853,9.209571358415225,2.0,1.6220706553500635,1.3949807636010545,0.1364042797745396,0.08672477327959359,0.10038812309358393
80,0.8494926802478356,813.9384974949164,24.61747644232256,1.0,0.7863435038805017,0.6762554133372314,0.07876011702626627,0.08469281431790847,0.09980331790663419
81,0.6769370229399733,816.8640435809247,1.3478506321588972,1.0,0.15422610201237635,0.13263444773064367,0.005695817301704205,0.1941204395203819,0.22509148919328936
82,0.9626362876748005,610.6717796556062,17.83687781079874,2.0,0.7686145035542822,0.6610084730566826,0.10276447444566911,0.04620282076323912,0.05402257521064297
83,0.9820091702445917,1087.8735199216383,0.006410183564900725,2.0,1.1437559014213625,0.9836300752223718,0.15531595544873475,0.04198421827530609,0.048729799703673186
84,0.7971451538461312,635.0400354206222,0.003486073375351558,1.0,0.3925903159433119,0.33762767171124825,0.05215182592297479,0.04264174685458041,0.049465639988694673
85,0.6516840161091154,575.0164868251716,36.44337208459375,1.0,0.069090797456432,0.05941808581253152,0.012947442619430618,0.0371885772011015,0.043277606785035144
