connection_type,cell_pair,protocol_id,param_hash,actual_epsp_ratio,expected_epsp_ratio,difference_in_percentage,initial_rho,final_rho,expected_epsp_before,expected_epsp_after,actual_epsp_before,actual_epsp_after
L5TTPC_L5TTPC,205559-199162,mrk97_01,cdb1a102b22d,1.5070774962224436,1.531330622638217,-1.5837942543060721,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 1, 0, 1, 1]",1.9179159710490084,2.9369634581142585,1.9017273263915402,2.866050457555964
L5TTPC_L5TTPC,205559-199162,mrk97_02,cdb1a102b22d,1.76175204638192,1.531330622638217,15.047137459233126,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 1, 0, 1, 1]",1.9179159710490084,2.9369634581142585,1.8781595121084902,3.308851363888801
L5TTPC_L5TTPC,205559-199162,mrk97_07,cdb1a102b22d,1.6623911864369016,1.531330622638217,8.558606604032379,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 1, 0, 1, 1]",1.9179159710490084,2.9369634581142585,1.854906170452294,3.0835796694273188
L5TTPC_L5TTPC,205559-199162,mrk97_08,cdb1a102b22d,1.6371753908704474,1.531330622638217,6.9119474702254795,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 1, 0, 1, 1]",1.9179159710490084,2.9369634581142585,1.9043271501785537,3.117717546438779
L5TTPC_L5TTPC,205559-199162,mrk97_01,faa4c9537a5f,1.0169543989885597,1.0,1.695439898855966,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.933969970250629
L5TTPC_L5TTPC,205559-199162,mrk97_02,faa4c9537a5f,1.0329492705877417,1.0,3.2949270587741664,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.8781595121084902,1.9400434980798935
L5TTPC_L5TTPC,205559-199162,mrk97_07,faa4c9537a5f,1.0462015798966502,1.0,4.620157989665019,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.854906170452294,1.9406057660872351
L5TTPC_L5TTPC,205559-199162,mrk97_08,faa4c9537a5f,0.9991607231427502,1.0,-0.08392768572498266,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9043271501785537,1.9027288924727763
L5TTPC_L5TTPC,205559-199162,mrk97_01,6d267317ea0c,1.0169543989885597,1.0,1.695439898855966,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.933969970250629
L5TTPC_L5TTPC,205559-199162,mrk97_07,6d267317ea0c,1.046202400431871,1.0,4.620240043187107,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.854906170452294,1.9406072881030796
L5TTPC_L5TTPC,205559-199162,mrk97_08,6d267317ea0c,0.9948849541286947,1.0,-0.511504587130529,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9043271501785537,1.8945864294514183
L5TTPC_L5TTPC,205559-199162,mrk97_01,dc9a87cd67d3,1.016958368211458,1.0,1.695836821145802,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.9339775186302794
L5TTPC_L5TTPC,205559-199162,mrk97_02,dc9a87cd67d3,1.0325736659631732,1.0,3.2573665963173237,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.8781595121084902,1.9393380526814687
L5TTPC_L5TTPC,205559-199162,mrk97_07,dc9a87cd67d3,1.0461953690694399,1.0,4.619536906943988,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.854906170452294,1.940594245585519
L5TTPC_L5TTPC,205559-199162,mrk97_08,dc9a87cd67d3,0.9924312485984028,1.0,-0.7568751401597185,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9043271501785537,1.8899137713915402
