,Use,Dep (ms),Fac (ms),Nrrp,gAMPAR (nS),gNMDAR (nS),Vspine ($\mu m^3$),$\theta_d$,$\theta_p$
0,0.6210105464344265,542.0339482709235,0.020825977071833795,2.0,1.727913443727211,0.9503523940499661,0.08733403319440199,0.16218355205981272,0.18772195825567353
1,0.9841065609231304,564.1830096665448,1.5693639473383796,5.0,3.352146766451395,1.8436807215482673,0.3158128581341005,0.06995063137488318,0.0825137686570377
2,0.6681721372493736,866.2110824138067,0.00022568560713912486,1.0,0.8696019757126044,0.4782810866419325,0.029082956169487705,0.27271371725977905,0.8899911488640078
3,0.9656455923984233,677.7149735513141,4.931653959047916e-09,5.0,3.196598756046913,1.7581293158258022,0.27725418446839173,0.13152069338181252,0.3675866028455845
4,0.43636144753574163,753.4484623957042,0.3639517133939419,4.0,1.2623088659050616,0.6942698762477839,0.2378946387268075,0.10541135271042629,0.20007630988094466
5,0.6347847372495596,799.2205237239325,94.23931217566921,3.0,1.5570301163896505,0.8563665640143079,0.13684673186661833,0.19995603002753376,0.416629456087656
6,0.7656946514801065,680.312293267891,41.075238211079956,3.0,1.6533475065775998,0.9093411286176799,0.12931752322773865,0.210743340390646,0.4580202562652968
7,0.8737610429236038,567.5212981360953,73.82506892708112,5.0,2.269336041715748,1.2481348229436615,0.12970163809816052,0.26169709605624025,0.6085609767904598
8,0.5895312146160685,794.6111840699118,0.07460209688435573,3.0,1.40737640886003,0.7740570248730165,0.14675238814126523,0.18637813852197857,0.36412521833408873
9,0.46708859754792553,752.6045985629955,12.869607164981018,2.0,1.2228143111154524,0.6725478711134989,0.0736833967792618,0.10297760974647925,0.11921015585911432
10,0.9522597646806895,857.8229013827405,13.096962388163366,6.0,3.9849388959889724,2.191716392793935,0.2911327728998069,0.08861013501899222,0.10266839345384374
11,0.25109649149307156,814.7387497031365,0.0015570184487292246,2.0,1.1849140234955147,0.6517027129225331,0.1529062210154163,0.29528934783339567,0.43248352778245647
12,0.8344092873537059,886.8217321898592,18.247416367308322,3.0,1.5188316963971327,0.835357433018423,0.14799509443588568,0.06468911380161632,0.07539811112859206
13,0.8662361668557023,552.2741946446216,14.2557496719444,3.0,2.0321823412696745,1.117700287698321,0.09664837164198874,0.22610572872854431,0.26168206440365194
14,0.4654678863036509,640.6369165131772,0.8290866129109593,4.0,1.706486514430946,0.9385675829370204,0.1972459883124519,0.07821712145678897,0.09454230141181463
15,0.24924195327470547,969.7860242237886,14.509300763172313,2.0,1.0285019730259786,0.5656760851642882,0.08314162839995935,0.14680557285762352,0.3752381583397473
16,0.6656082249324219,780.3356319113641,1.6606410914640897,4.0,1.726727726078666,0.9497002493432664,0.138611148792255,0.30410719632873456,0.5256251574742643
17,0.2554968952912389,722.5751150396344,3.0356011201906963,2.0,0.5401884130668644,0.2971036271867754,0.029765240508800875,0.44512412304231075,0.7731531901427017
18,0.5425638930534347,541.1221139973272,1.4610559998884163,5.0,2.0549150573145463,1.1302032815230005,0.3791393832169018,0.1902983333070789,0.2725573895561421
19,0.7834899086886525,653.0021657704036,2.1286291435899554e-07,4.0,1.5488468094627847,0.8518657452045317,0.21532394366314409,0.35020394763563617,0.44313600318807417
20,0.6235131801974015,756.2930263607464,2.6936990327406236,3.0,1.0034658199255997,0.5519062009590798,0.07253205662246347,0.07556554344262266,0.08811095862879943
21,0.07216133405677962,522.7846062101784,0.09615949349060396,1.0,0.08427714711147828,0.04635243091131306,0.0261239447585354,0.024342304416611223,0.029083057464617097
22,0.8392670215287309,510.94393392940924,24.774060728820324,3.0,2.313761248070083,1.2725686864385457,0.14606461836574836,0.08651776613620922,0.10088704822986014
23,0.9696053817776551,753.9352188901445,267.69934132549565,7.0,5.095617555540354,2.802589655547195,0.4043772561309605,0.3205933671654212,0.7560386579966984
24,0.31967589834321286,556.5574248520498,4.745505515294691e-08,1.0,0.4266107269948771,0.23463589984718244,0.05442045598941828,0.3928617037215235,0.46810500993052107
25,0.4941405699532503,814.5918193340868,0.21406851659893003,2.0,1.0117478380802283,0.5564613109441257,0.10854112376716347,0.34528474643014323,0.47440702113292144
26,0.4680108304530036,620.0270988196985,63.11486677231618,3.0,1.392229719851671,0.7657263459184191,0.08181866451706925,0.09233597840860167,0.10703705313253048
27,0.46109529301053936,475.9956979982386,23.085402211163586,2.0,1.5650196088919488,0.860760784890572,0.10169223981463768,0.10086396780050565,0.11677533015030091
