protocol_id,mean_epsp_ratio,sem_epsp_ratio,frequency_train,dt_train,mean_epsp_ratio_sim,sem_epsp_ratio_sim,std_epsp_ratio_sim,count,error
mrk97_03,1.2038,0.0644,10.0,5,1.559602217186925,0.05412793409554252,0.5412793409554252,100,5.524879148865296
mrk97_07,1.2013,0.0626,10.0,10,1.5060958783186913,0.05323955718383333,0.5323955718383333,100,4.8689437431100835
mrk97_08,0.7922,0.0259,10.0,-10,1.2945413709179265,0.04855737912354909,0.48557379123549094,100,19.39541972656087
