pregid,postgid,n_syn,n_apical,n_basal,frac_apical,category,mean_cpre_apical,mean_cpost_apical,mean_cpre_basal,mean_cpost_basal,apical_syn_ids,basal_syn_ids
196562,186098,7,0,7,0.0,basal,,,0.08647221747992291,0.00662976886112805,,299014785;299014786;299014787;299014788;299014789;299014790;299014791
196748,180959,5,1,4,0.2,mixed,0.04090463233050586,0.015459949720002553,0.05173352134668377,0.009717445054998056,275880157,275880153;275880154;275880155;275880156
197652,203951,7,1,6,0.14285714285714285,mixed,0.06468659198617491,0.02162658110214964,0.10952304699901426,0.009497568789200342,377158504,377158501;377158502;377158503;377158505;377158506;377158507
198242,189050,4,0,4,0.0,basal,,,0.04805439913390073,0.011769306326345513,,312390449;312390450;312390451;312390452
198864,197551,5,0,5,0.0,basal,,,0.0550265614050169,0.008127664276132904,,349771028;349771029;349771030;349771031;349771032
198910,188914,10,8,2,0.8,mixed,0.08554615631002449,0.006763955348438948,0.05844001159230852,0.00011067060253480223,311785109;311785110;311785111;311785114;311785115;311785116;311785117;311785118,311785112;311785113
199365,195486,4,0,4,0.0,basal,,,0.05924001640418029,0.007154929441606259,,340878371;340878372;340878373;340878374
199521,190468,6,2,4,0.3333333333333333,mixed,0.056542855303620576,0.0042552380794675234,0.0462047018086182,0.002784488377483005,318698945;318698946,318698947;318698948;318698949;318698950
199599,194835,9,5,4,0.5555555555555556,mixed,0.060054376022662795,9.648688817745285e-05,0.053367825358756685,0.00497931045705167,338148741;338148742;338148743;338148745;338148746,338148740;338148744;338148747;338148748
199879,192945,11,3,8,0.2727272727272727,mixed,0.05710788116429369,0.06583141425476689,0.0545282730217994,0.008527172157199775,329806875;329806878;329806881,329806872;329806873;329806874;329806876;329806877;329806879;329806880;329806882
199932,195364,6,0,6,0.0,basal,,,0.04553800233813735,0.007306562219485017,,340396764;340396765;340396766;340396767;340396768;340396769
200132,185914,6,0,6,0.0,basal,,,0.05817454534998293,0.004633823153418388,,298186394;298186395;298186396;298186397;298186398;298186399
200462,204393,7,1,6,0.14285714285714285,mixed,0.10446932430155464,0.020465300051497878,0.039287351863972815,0.012453770223053643,379071283,379071282;379071284;379071285;379071286;379071287;379071288
200586,209048,4,0,4,0.0,basal,,,0.052737930637496724,0.008418807792255359,,399350139;399350140;399350141;399350142
201258,187071,5,1,4,0.2,mixed,0.04190442918412807,0.030268311803322043,0.7530389851029629,0.0009051220757139929,303340040,303340037;303340038;303340039;303340041
201521,209101,5,3,2,0.6,mixed,0.0463858736329792,0.021693387976916955,0.06829240222456694,0.00328663341856141,399576195;399576196;399576197,399576194;399576198
202328,190143,5,0,5,0.0,basal,,,0.06335833236604067,0.008411358378126874,,317243675;317243676;317243677;317243678;317243679
202571,195398,5,0,5,0.0,basal,,,0.04718907315620204,0.0013163827912027512,,340531992;340531993;340531994;340531995;340531996
203038,207594,15,2,13,0.13333333333333333,mixed,0.04072862589503823,0.00015603353736320951,0.18331759100854403,0.0047616599665609915,393009532;393009540,393009527;393009528;393009529;393009530;393009531;393009533;393009534;393009535;393009536;393009537;393009538;393009539;393009541
203171,197644,3,3,0,1.0,apical,0.0563771704887762,0.00010710253878841063,,,350164833;350164834;350164835,
203710,206592,8,0,8,0.0,basal,,,0.07885392523700391,0.001797515701883295,,388649882;388649883;388649884;388649885;388649886;388649887;388649888;388649889
203919,187736,6,3,3,0.5,mixed,0.06600485611619256,0.00989334909198658,0.047700141256113,0.008002452008332937,306312631;306312632;306312633,306312629;306312630;306312634
203964,196350,8,1,7,0.125,mixed,0.031299591213619096,0.00020717497909241618,0.050335970099341064,0.0044065665401872,344604336,344604330;344604331;344604332;344604333;344604334;344604335;344604337
204120,188861,4,0,4,0.0,basal,,,0.0636832785166363,0.0166881423771246,,311545968;311545969;311545970;311545971
204194,205064,6,2,4,0.3333333333333333,mixed,0.061252131764975806,0.0039002973002458387,0.055972905603560115,2.9762341647529268e-05,381997066;381997071,381997067;381997068;381997069;381997070
204883,200512,14,1,13,0.07142857142857142,mixed,0.05146527799064834,0.0007661480459916541,0.09951188867923516,0.005826628464875537,362493516,362493506;362493507;362493508;362493509;362493510;362493511;362493512;362493513;362493514;362493515;362493517;362493518;362493519
205300,191467,8,0,8,0.0,basal,,,0.07830130851719767,0.001672661613462897,,323184890;323184891;323184892;323184893;323184894;323184895;323184896;323184897
205327,192314,5,2,3,0.4,mixed,0.0582496779470649,8.196446033947299e-05,0.0506339683075693,0.01145376535279984,326955987;326955988,326955989;326955990;326955991
205559,199162,8,2,6,0.25,mixed,0.08709581429880403,4.749465261841776e-05,0.6075526833527224,0.0006843887950438446,356546105;356546107,356546100;356546101;356546102;356546103;356546104;356546106
205643,189193,12,4,8,0.3333333333333333,mixed,0.054670596261024454,0.016727385986671322,0.057645989591449606,0.017173671549414606,313023926;313023927;313023928;313023929,313023925;313023930;313023931;313023932;313023933;313023934;313023935;313023936
206314,189443,12,2,10,0.16666666666666666,mixed,0.06558198117257198,0.0003537609985807468,0.055878830238617894,0.018814841300396897,314153246;314153250,314153239;314153240;314153241;314153242;314153243;314153244;314153245;314153247;314153248;314153249
206930,184305,6,0,6,0.0,basal,,,0.05093448521945703,0.1452323199593549,,291008236;291008237;291008238;291008239;291008240;291008241
207423,186224,4,2,2,0.5,mixed,0.046146547964326934,7.843863890142665e-05,0.06324989590760378,0.00823751806287228,299584329;299584332,299584330;299584331
207475,192618,5,0,5,0.0,basal,,,0.0636903064884361,0.0028021698335889216,,328327399;328327400;328327401;328327402;328327403
207836,184831,4,0,4,0.0,basal,,,0.06405497560283357,0.005712558804337436,,293301102;293301103;293301104;293301105
208093,203811,6,0,6,0.0,basal,,,0.10251177829916003,0.0035890640777857283,,376580872;376580873;376580874;376580875;376580876;376580877
208904,200676,11,3,8,0.2727272727272727,mixed,0.05927325805406497,9.854882415741495e-05,0.11167657352453769,0.001655682685776347,363171049;363171050;363171059,363171051;363171052;363171053;363171054;363171055;363171056;363171057;363171058
208976,188476,5,0,5,0.0,basal,,,0.05432872111906688,0.014742724193766415,,309789495;309789496;309789497;309789498;309789499
209495,189342,4,0,4,0.0,basal,,,0.04830292689468729,0.006239043002638387,,313674400;313674401;313674402;313674403
209709,184968,10,6,4,0.6,mixed,0.04752390770268302,0.01600028467112383,0.06638064663406716,0.007412560860221153,293950332;293950333;293950334;293950335;293950336;293950338,293950331;293950337;293950339;293950340
210209,180231,7,0,7,0.0,basal,,,0.16274859517439694,0.006803414965919072,,272639657;272639658;272639659;272639660;272639661;272639662;272639663
