pre_gid,post_gid,freq_hz,delay_ms,n_synapses,n_potentiated_initial,n_potentiated_final,n_0to1,n_1to0,initial_rho_array,final_rho_array,initial_rho_bin,final_rho_bin,mean_epsp_before,mean_epsp_after,epsp_ratio
182967,198780,10.0,-50.0,10,6,4,3,5,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[0.580078, 0.353904, 0.585987, 0.455714, 0.485658, 0.415723, 0.44295, 0.582557, 0.616538, 0.436406]","[0, 1, 0, 1, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",1.888907079208392,1.54127841801381,0.8305819823015854
183423,197906,10.0,-50.0,7,2,2,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.590534, 0.546023, 0.0, 0.389879, 0.268728, 0.437483, 0.0]","[0, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 0]",1.277267934628681,1.3760190588476129,1.080933468005628
183796,186882,10.0,-50.0,11,5,4,1,2,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[0.486172, 0.488803, 0.0, 1.0, 0.0, 1.0, 0.0, 0.316694, 0.35414, 1.0, 0.577748]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",2.004656692239265,1.4759898609968025,0.7460226233001919
184015,184061,10.0,-50.0,7,5,4,1,2,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[0.600431, 0.620631, 0.481569, 0.563234, 0.686814, 0.0, 0.344929]","[1, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 0]",1.7220825838071119,1.5041964753266674,0.881016780212506
184033,189853,10.0,-50.0,7,2,4,4,2,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.473396, 0.601728, 0.537362, 0.121461, 0.434358, 0.615278, 0.610134]","[1, 0, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1]",1.2074199308863212,2.081014495405329,1.7262732277414243
184090,195582,10.0,-50.0,9,6,4,0,2,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[0.283936, 1.0, 0.0, 1.0, 1.0, 0.120033, 0.0, 0.583801, 0.08323]","[0, 1, 0, 1, 1, 1, 0, 1, 1]","[0, 1, 0, 1, 1, 0, 0, 1, 0]",5.504358321570608,2.5555137955225673,0.46732954866167437
184709,196154,10.0,-50.0,5,2,5,3,0,"[1.0, 0.0, 1.0, 0.0, 0.0]","[0.532126, 0.632249, 0.503122, 0.595264, 0.527227]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 1]",1.0905231466271232,2.3635530211123092,2.1793622752631108
185337,193957,10.0,-50.0,4,3,1,0,2,"[1.0, 1.0, 1.0, 0.0]","[0.168484, 0.459412, 0.568764, 0.305622]","[1, 1, 1, 0]","[0, 0, 1, 0]",1.4900048388367595,0.6214692478624748,0.4187140849305524
185785,189513,10.0,-50.0,5,1,2,2,1,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0.255061, 0.561961, 0.453093, 0.42474, 0.631598]","[0, 0, 0, 1, 0]","[0, 1, 0, 0, 1]",1.096883275055878,0.9729106796851574,0.8884761214417244
185875,206473,10.0,-50.0,23,11,7,1,5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[0.554292, 0.0, 0.276969, 0.487536, 0.318923, 0.487143, 0.494527, 0.567174, 0.289836, 0.36682, 0.624704, 0.494023, 0.924069, 0.454558, 0.262529, 0.243838, 0.420087, 0.746152, 1.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",4.886928355255206,3.264409102289847,0.7195636681746193
186117,200624,10.0,-50.0,6,3,6,3,0,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0.579622, 0.580594, 0.553349, 0.514185, 0.627357, 0.613109]","[0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1]",1.2084231400862042,2.035890947143499,1.6947472986549583
