config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",0.28468987772652954,0.04167214538251039,5,18751,180959
"0,0,0,0,0,1",0.4757703166618207,0.03862771203065826,5,18751,180959
"0,0,0,0,1,0",0.3407576583613443,0.03544842750592365,5,18751,180959
"0,0,0,1,0,0",0.3574761049624949,0.05049646313264924,5,18751,180959
"0,0,1,0,0,0",0.5412191829490773,0.0463155588095984,5,18751,180959
"0,1,0,0,0,0",0.5341831342634956,0.02978678040332402,5,18751,180959
"1,0,0,0,0,0",0.2926412331675327,0.0399993194049203,5,18751,180959
"1,1,1,1,1,1",1.0966001785945698,0.023687218719241464,5,18751,180959
