config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0",0.452504703356251,0.03990256764037709,5,15033,205064
"0,0,0,0,0,0,0,1",0.5239272221394112,0.040859231327546326,5,15033,205064
"0,0,0,0,0,0,1,0",0.853892505908336,0.04751583777073842,5,15033,205064
"0,0,0,0,0,1,0,0",0.5715094591335002,0.03755009417012379,5,15033,205064
"0,0,0,0,1,0,0,0",0.6039426992723511,0.03209829594763467,5,15033,205064
"0,0,0,1,0,0,0,0",0.6886255424299677,0.06111467651104015,5,15033,205064
"0,0,1,0,0,0,0,0",0.5585955711928967,0.025414562864165095,5,15033,205064
"0,1,0,0,0,0,0,0",0.5107093184596804,0.041018903754331704,5,15033,205064
"1,0,0,0,0,0,0,0",0.5237211994652273,0.039988232662275476,5,15033,205064
"1,1,1,1,1,1,1,1",1.6120258267081629,0.0485691790014422,5,15033,205064
