config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0",0.07374462656174761,0.01646560028771426,5,22820,199342
"0,0,0,0,0,0,0,0,1",0.15886392747019115,0.015714153589301894,5,22820,199342
"0,0,0,0,0,0,0,1,0",0.18700531170418108,0.013488793185499741,5,22820,199342
"0,0,0,0,0,0,1,0,0",0.08990478458158364,0.019645644913038465,5,22820,199342
"0,0,0,0,0,1,0,0,0",0.14050033572346074,0.01710091568944962,5,22820,199342
"0,0,0,0,1,0,0,0,0",0.15083550947556174,0.029562489712564883,5,22820,199342
"0,0,0,1,0,0,0,0,0",0.22508305198773848,0.02042078198985225,5,22820,199342
"0,0,1,0,0,0,0,0,0",0.137023251461684,0.04022493511229897,5,22820,199342
"0,1,0,0,0,0,0,0,0",0.17779712912073223,0.03051416895000787,5,22820,199342
"1,0,0,0,0,0,0,0,0",0.15130215938670635,0.015207374764806634,5,22820,199342
"1,1,1,1,1,1,1,1,1",0.8078988072524377,0.08170706570857832,5,22820,199342
