config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0",0.15257211892450234,0.01747403253151467,5,518,189050
"0,0,0,0,0,0,0,1",0.18060489331638202,0.011294208626389224,5,518,189050
"0,0,0,0,0,0,1,0",0.17903283697090303,0.00953498062018936,5,518,189050
"0,0,0,0,0,1,0,0",0.16095139907647205,0.018478584846336233,5,518,189050
"0,0,0,0,1,0,0,0",0.19225056039953875,0.010152900285464716,5,518,189050
"0,0,0,1,0,0,0,0",0.16318374073045258,0.01959739395356705,5,518,189050
"0,0,1,0,0,0,0,0",0.20799910402903188,0.01753188573269484,5,518,189050
"0,1,0,0,0,0,0,0",0.19868903338768457,0.0244398560009366,5,518,189050
"1,0,0,0,0,0,0,0",0.46478602202023583,0.02697323347456632,5,518,189050
"1,1,1,1,1,1,1,1",0.6578045022798027,0.022391523162322714,5,518,189050
