config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0",0.2977785477292374,0.04525560915460976,5,23448,187024
"0,0,0,0,0,0,0,0,0,1",0.5707183628840177,0.012570269607737442,5,23448,187024
"0,0,0,0,0,0,0,0,1,0",0.4192833826141066,0.04722079629652544,5,23448,187024
"0,0,0,0,0,0,0,1,0,0",0.3420484473657638,0.0382426243758778,5,23448,187024
"0,0,0,0,0,0,1,0,0,0",0.36244802434888584,0.04605924317254295,5,23448,187024
"0,0,0,0,0,1,0,0,0,0",0.4643052188895297,0.056162068136160266,5,23448,187024
"0,0,0,0,1,0,0,0,0,0",0.4708874905495766,0.04472353580785289,5,23448,187024
"0,0,0,1,0,0,0,0,0,0",0.42043463129410596,0.05149282768918519,5,23448,187024
"0,0,1,0,0,0,0,0,0,0",0.40469915111773674,0.03607991704300604,5,23448,187024
"0,1,0,0,0,0,0,0,0,0",0.352450277798444,0.043098812684425745,5,23448,187024
"1,0,0,0,0,0,0,0,0,0",0.3431052084349643,0.03980298403220263,5,23448,187024
"1,1,1,1,1,1,1,1,1,1",1.4514777986796439,0.06373381430531495,5,23448,187024
