config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.21250408635089096,0.023850131731427866,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",0.2698854483025594,0.019754992254612132,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0",0.23244968886152578,0.02187329190509999,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",0.22395392090853555,0.025122789626710596,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0",0.22373526989824435,0.026848602319144103,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0",0.22836587450733767,0.02407799103427774,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",0.30785532148137734,0.02558256899739448,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0",0.24812845299662714,0.02522650340797678,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",0.41906015343313385,0.016519056077853443,5,166499,187275
"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",0.290997684231161,0.02000452686468354,5,166499,187275
"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",0.23810896290014463,0.02356436125107543,5,166499,187275
"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",0.22316912753389767,0.021655086601918457,5,166499,187275
"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",0.22279090345111924,0.023904324913695974,5,166499,187275
"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",0.22918997929722734,0.026556595117746412,5,166499,187275
"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",0.22594129392980472,0.022544743888050632,5,166499,187275
"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.23281070485563332,0.02203087829818217,5,166499,187275
"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.24718473378574707,0.022713830954827458,5,166499,187275
"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.2377692315650189,0.023116344320445206,5,166499,187275
"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.21761595173910492,0.02345168558356544,5,166499,187275
"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.22363164028464647,0.024840814655868175,5,166499,187275
"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.8806200790975109,0.010316282718317783,5,166499,187275
