config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",0.2628485059186898,0.01714038192422327,5,5569,200942
"0,0,0,0,0,1",0.5518868713194743,0.03631127091382021,5,5569,200942
"0,0,0,0,1,0",0.385982869258968,0.03914310421703885,5,5569,200942
"0,0,0,1,0,0",0.3536457719142909,0.0333761582670997,5,5569,200942
"0,0,1,0,0,0",0.2999446525290871,0.010430619235779733,5,5569,200942
"0,1,0,0,0,0",0.3173242250941006,0.013819312913737593,5,5569,200942
"1,0,0,0,0,0",0.33249289943759763,0.016359306839745152,5,5569,200942
"1,1,1,1,1,1",0.9176658193284151,0.058443484401650314,5,5569,200942
