config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",0.14324460122341662,0.012220564729731187,5,11757,197571
"0,0,0,0,0,1",0.16292327614930832,0.00924000925737788,5,11757,197571
"0,0,0,0,1,0",0.18048260395184385,0.01592639608290985,5,11757,197571
"0,0,0,1,0,0",0.1681389460568416,0.01819932439527626,5,11757,197571
"0,0,1,0,0,0",0.23011310820975198,0.016892890970641866,5,11757,197571
"0,1,0,0,0,0",0.3347883687256183,0.020715171922845832,5,11757,197571
"1,0,0,0,0,0",0.2126619500583665,0.007941511354701006,5,11757,197571
"1,1,1,1,1,1",0.570521162321233,0.017474877483968393,5,11757,197571
