
  Default parameters evaluation:
  Protocol         Predicted  Experiment      Error     N
differential_evolution step 69: f(x)= 0.0461177752433358
differential_evolution step 70: f(x)= 0.0461177752433358
differential_evolution step 71: f(x)= 0.0461177752433358
differential_evolution step 72: f(x)= 0.04517938106696031
differential_evolution step 73: f(x)= 0.04517938106696031
differential_evolution step 74: f(x)= 0.04517938106696031
differential_evolution step 75: f(x)= 0.04517938106696031
differential_evolution step 76: f(x)= 0.04517938106696031
differential_evolution step 77: f(x)= 0.04517938106696031
differential_evolution step 78: f(x)= 0.04517938106696031
differential_evolution step 79: f(x)= 0.04517938106696031
differential_evolution step 80: f(x)= 0.04517938106696031
differential_evolution step 81: f(x)= 0.04517938106696031
differential_evolution step 82: f(x)= 0.04517938106696031
differential_evolution step 83: f(x)= 0.04517938106696031
differential_evolution step 84: f(x)= 0.04517938106696031
differential_evolution step 85: f(x)= 0.04517938106696031
differential_evolution step 86: f(x)= 0.04517938106696031
differential_evolution step 87: f(x)= 0.04517938106696031
differential_evolution step 88: f(x)= 0.04517938106696031
differential_evolution step 89: f(x)= 0.04517938106696031
differential_evolution step 90: f(x)= 0.045164910607558895
differential_evolution step 91: f(x)= 0.04495908400660004
differential_evolution step 92: f(x)= 0.04495908400660004
differential_evolution step 93: f(x)= 0.04479871097232031
differential_evolution step 94: f(x)= 0.044456758488533546
differential_evolution step 95: f(x)= 0.04352437164780902
differential_evolution step 96: f(x)= 0.04352437164780902
differential_evolution step 97: f(x)= 0.04352437164780902
differential_evolution step 98: f(x)= 0.04352437164780902
differential_evolution step 99: f(x)= 0.04276730655085901
differential_evolution step 100: f(x)= 0.04276730655085901
differential_evolution step 101: f(x)= 0.04276730655085901
differential_evolution step 102: f(x)= 0.04276730655085901
differential_evolution step 103: f(x)= 0.04232581853223417
differential_evolution step 104: f(x)= 0.04232581853223417
differential_evolution step 105: f(x)= 0.041545192946059975
differential_evolution step 106: f(x)= 0.041545192946059975
differential_evolution step 107: f(x)= 0.041545192946059975
differential_evolution step 108: f(x)= 0.041545192946059975
differential_evolution step 109: f(x)= 0.041545192946059975
differential_evolution step 110: f(x)= 0.041545192946059975
