config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",3.637016194365816,0.07244147535072133,10,196654,200262
"0,0,0,0,1",3.8002633975083087,0.11188537968622904,10,196654,200262
"0,0,0,1,0",4.105626184998863,0.05052625322245266,10,196654,200262
"0,0,1,0,0",3.8429137531141238,0.18369889032494632,10,196654,200262
"0,1,0,0,0",3.958545433527591,0.0966992002888785,10,196654,200262
"1,0,0,0,0",4.072390202499032,0.0756318238503641,10,196654,200262
"1,1,1,1,1",5.2491439187507964,0.07987857626043333,10,196654,200262
