config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",2.1816885411138403,0.09482015784326799,10,202328,190143
"0,0,0,0,1",2.3747055235734122,0.1359988982547285,10,202328,190143
"0,0,0,1,0",2.383778425629282,0.07438681832469757,10,202328,190143
"0,0,1,0,0",2.5639780718867144,0.05172846146711282,10,202328,190143
"0,1,0,0,0",2.6613741687020607,0.14299420309150654,10,202328,190143
"1,0,0,0,0",2.6321432812652916,0.058621743828852685,10,202328,190143
"1,1,1,1,1",3.9657519378127573,0.10340436523355387,10,202328,190143
