config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",3.624968337121166,0.25597414781173117,10,203038,207594
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",4.295324702332527,0.24516736012796467,10,203038,207594
"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0",3.6249605359687025,0.2559870612054698,10,203038,207594
"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",4.182658671332666,0.11007689793095389,10,203038,207594
"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0",3.626171035084522,0.2558923585289924,10,203038,207594
"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0",3.6264445117290136,0.25614082065405785,10,203038,207594
"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",3.627722830089117,0.25515795029901084,10,203038,207594
"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0",4.2693120534492905,0.1633652957114605,10,203038,207594
"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0",3.719376054647597,0.27178088190771227,10,203038,207594
"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0",3.7230533461841615,0.24276555627299928,10,203038,207594
"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",3.655260749566621,0.25282208197748585,10,203038,207594
"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",3.7123621741146993,0.26205700664615267,10,203038,207594
"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",3.6628930725343762,0.2541360647210437,10,203038,207594
"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",3.7031802603223483,0.26462510673243683,10,203038,207594
"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0",3.9224899966772044,0.24546824794634955,10,203038,207594
"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",4.007640346447175,0.18018366088899848,10,203038,207594
"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",7.039320753505621,0.1945348466850535,10,203038,207594
