config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0",3.499726731662902,0.12413302997879587,10,181588,206273
"0,0,0,0,0,0,0,1",3.6288368027388302,0.12664741568757676,10,181588,206273
"0,0,0,0,0,0,1,0",3.5510974397545,0.12764447368120527,10,181588,206273
"0,0,0,0,0,1,0,0",3.651902244105983,0.13469621712758612,10,181588,206273
"0,0,0,0,1,0,0,0",3.64334039327922,0.14833473421072552,10,181588,206273
"0,0,0,1,0,0,0,0",4.038839829689321,0.13805830591117313,10,181588,206273
"0,0,1,0,0,0,0,0",4.07449911933652,0.1247801103299421,10,181588,206273
"0,1,0,0,0,0,0,0",4.143533990511299,0.14335275877949985,10,181588,206273
"1,0,0,0,0,0,0,0",3.742297494301708,0.11887203039395708,10,181588,206273
"1,1,1,1,1,1,1,1",6.069600118055867,0.10002222909389384,10,181588,206273
