config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",2.431678493293366,0.05169229913232525,10,203300,206195
"0,0,0,0,1",2.855875982783961,0.061906038675463085,10,203300,206195
"0,0,0,1,0",2.659526208801516,0.07715183036647036,10,203300,206195
"0,0,1,0,0",2.6369693687394857,0.0630315440113579,10,203300,206195
"0,1,0,0,0",2.5859256319659623,0.05940733149234279,10,203300,206195
"1,0,0,0,0",2.6843732581984527,0.06938135511055782,10,203300,206195
"1,1,1,1,1",3.5154046761236755,0.04992588780959869,10,203300,206195
