config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0,0,0,0,0",0.949998804151518,0.08211337505592259,10,201281,199420
"0,0,0,0,0,0,0,0,0,1",1.0818294391776662,0.08767681855728676,10,201281,199420
"0,0,0,0,0,0,0,0,1,0",1.2601855081233295,0.09086950617033494,10,201281,199420
"0,0,0,0,0,0,0,1,0,0",1.3111659212297184,0.0715473350008643,10,201281,199420
"0,0,0,0,0,0,1,0,0,0",1.0457529273941888,0.09495128900602769,10,201281,199420
"0,0,0,0,0,1,0,0,0,0",1.1461176347527826,0.04402108350144101,10,201281,199420
"0,0,0,0,1,0,0,0,0,0",1.232755848243204,0.10392817071606544,10,201281,199420
"0,0,0,1,0,0,0,0,0,0",0.9952616951870453,0.07318243106723828,10,201281,199420
"0,0,1,0,0,0,0,0,0,0",1.3092419333136562,0.09770363505639985,10,201281,199420
"0,1,0,0,0,0,0,0,0,0",1.0795329808009626,0.08805067882518888,10,201281,199420
"1,0,0,0,0,0,0,0,0,0",1.2914664611960731,0.08662531985981617,10,201281,199420
"1,1,1,1,1,1,1,1,1,1",3.119391478367612,0.11055656201779979,10,201281,199420
