config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0,0",4.068572728217146,0.28526273225747406,10,190392,207670
"0,0,0,0,0,1",4.381573324161809,0.27024072322248477,10,190392,207670
"0,0,0,0,1,0",4.27802528280188,0.20303245194315322,10,190392,207670
"0,0,0,1,0,0",5.902884007588021,0.13849353933973854,10,190392,207670
"0,0,1,0,0,0",4.636505793916609,0.21629381570953132,10,190392,207670
"0,1,0,0,0,0",4.670291903461122,0.27389505802883635,10,190392,207670
"1,0,0,0,0,0",4.730828432753201,0.19609745699785178,10,190392,207670
"1,1,1,1,1,1",8.535981553033086,0.21120464289672997,10,190392,207670
