config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",1.7941221069689135,0.07483457191730972,10,195214,208946
"0,0,0,0,1",2.6061334418125055,0.1379980480076963,10,195214,208946
"0,0,0,1,0",1.9496411544713397,0.0790767201902532,10,195214,208946
"0,0,1,0,0",2.1655292496918066,0.0980850987471671,10,195214,208946
"0,1,0,0,0",1.9985931589903756,0.08878231948359208,10,195214,208946
"1,0,0,0,0",2.663773253282693,0.13451099053716845,10,195214,208946
"1,1,1,1,1",3.9952320406018176,0.04725259105188558,10,195214,208946
