config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",2.32413354570716,0.06866444206290997,10,205327,192314
"0,0,0,0,1",2.4948091855027728,0.04449073046591535,10,205327,192314
"0,0,0,1,0",2.493971497134207,0.036845867855860456,10,205327,192314
"0,0,1,0,0",2.7088023957500256,0.02943570142525085,10,205327,192314
"0,1,0,0,0",2.3241485939193725,0.06866139577846533,10,205327,192314
"1,0,0,0,0",2.3241306795974297,0.06868610940823368,10,205327,192314
"1,1,1,1,1",3.1140885547097197,0.02979893812465026,10,205327,192314
