config,mean,std,count,pre_gid,post_gid
"0,0,0,0,0",1.6448894133798846,0.19461308761985496,10,182369,181607
"0,0,0,0,1",2.2866046725238816,0.17990479216021185,10,182369,181607
"0,0,0,1,0",2.1689577648839076,0.17218381311334052,10,182369,181607
"0,0,1,0,0",2.6684771609860434,0.18571052884497075,10,182369,181607
"0,1,0,0,0",1.8454410084139354,0.13871492699221727,10,182369,181607
"1,0,0,0,0",1.887108592123249,0.11127570631919602,10,182369,181607
"1,1,1,1,1",4.36273024388098,0.13297462741692312,10,182369,181607
